iter	Passed	Remaining
0	14	14254
1	21	10677
2	29	9749
3	35	8888
4	42	8506
5	48	8024
6	54	7699
7	59	7417
8	65	7216
9	70	7020
10	76	6866
11	82	6763
12	88	6689
13	93	6586
14	99	6532
15	105	6483
16	111	6432
17	116	6372
18	122	6328
19	128	6278
20	134	6256
21	139	6207
22	145	6179
23	151	6148
24	156	6120
25	162	6105
26	168	6068
27	173	6035
28	179	6023
29	185	6004
30	191	5987
31	196	5957
32	202	5935
33	208	5919
34	214	5909
35	220	5893
36	225	5870
37	231	5858
38	237	5841
39	242	5831
40	248	5813
41	254	5798
42	259	5779
43	265	5768
44	270	5750
45	276	5736
46	281	5716
47	287	5696
48	293	5688
49	298	5669
50	303	5649
51	309	5642
52	314	5624
53	320	5613
54	325	5599
55	331	5582
56	336	5567
57	345	5609
58	351	5608
59	357	5594
60	362	5581
61	368	5568
62	373	5550
63	378	5542
64	384	5530
65	390	5524
66	396	5515
67	401	5500
68	406	5487
69	412	5477
70	418	5469
71	423	5459
72	429	5452
73	434	5441
74	446	5509
75	453	5514
76	459	5506
77	701	8287
78	797	9301
79	805	9259
80	810	9196
81	816	9141
82	822	9082
83	827	9028
84	833	8974
85	839	8922
86	844	8866
87	850	8811
88	855	8760
89	861	8709
90	867	8661
91	872	8609
92	877	8562
93	885	8533
94	890	8487
95	896	8444
96	902	8403
97	908	8361
98	913	8316
99	919	8273
100	924	8232
101	930	8192
102	935	8150
103	941	8110
104	946	8069
105	952	8031
106	957	7991
107	962	7951
108	968	7913
109	973	7879
110	978	7840
111	984	7806
112	990	7773
113	995	7739
114	1001	7706
115	1007	7674
116	1012	7643
117	1018	7613
118	1024	7581
119	1029	7549
120	1035	7520
121	1040	7490
122	1046	7462
123	1052	7432
124	1057	7401
125	1063	7374
126	1068	7343
127	1073	7313
128	1078	7285
129	1084	7257
130	1090	7231
131	1095	7203
132	1101	7178
133	1106	7150
134	1111	7122
135	1116	7096
136	1122	7069
137	1127	7044
138	1133	7019
139	1138	6995
140	1144	6970
141	1149	6946
142	1155	6924
143	1160	6901
144	1166	6876
145	1171	6852
146	1176	6829
147	1182	6807
148	1188	6786
149	1193	6764
150	1199	6743
151	1204	6721
152	1209	6697
153	1215	6677
154	1220	6655
155	1226	6635
156	1231	6614
157	1239	6604
158	1245	6586
159	1250	6564
160	1256	6546
161	1261	6527
162	1267	6507
163	1272	6488
164	1278	6468
165	1283	6448
166	1288	6429
167	1294	6409
168	1299	6390
169	1304	6370
170	1310	6354
171	1316	6335
172	1321	6317
173	1326	6297
174	1331	6277
175	1336	6259
176	1342	6242
177	1347	6224
178	1352	6205
179	1358	6187
180	1363	6169
181	1368	6152
182	1374	6135
183	1379	6117
184	1384	6100
185	1389	6082
186	1395	6065
187	1400	6049
188	1405	6032
189	1411	6015
190	1416	5998
191	1421	5982
192	1426	5966
193	1432	5950
194	1437	5933
195	1442	5917
196	1447	5901
197	1452	5885
198	1458	5870
199	1463	5855
200	1468	5838
201	1473	5823
202	1479	5808
203	1484	5793
204	1490	5779
205	1495	5765
206	1500	5749
207	1506	5735
208	1511	5719
209	1516	5704
210	1521	5690
211	1527	5675
212	1532	5661
213	1537	5646
214	1542	5632
215	1547	5618
216	1553	5604
217	1558	5591
218	1563	5577
219	1569	5563
220	1574	5549
221	1579	5535
222	1584	5521
223	1590	5508
224	1595	5494
225	1600	5480
226	1605	5468
227	1611	5455
228	1616	5442
229	1621	5428
230	1626	5416
231	1632	5403
232	1637	5389
233	1642	5377
234	1647	5364
235	1653	5351
236	1658	5340
237	1664	5327
238	1669	5315
239	1674	5303
240	1679	5290
241	1685	5278
242	1690	5265
243	1695	5253
244	1700	5241
245	1706	5229
246	1711	5218
247	1717	5206
248	1721	5193
249	1727	5182
250	1732	5170
251	1737	5158
252	1743	5147
253	1748	5136
254	1754	5125
255	1759	5112
256	1764	5101
257	1769	5090
258	1775	5079
259	1780	5068
260	1785	5056
261	1791	5044
262	1796	5033
263	1801	5023
264	1807	5012
265	1812	5000
266	1817	4989
267	1823	4979
268	1828	4968
269	1833	4957
270	1838	4945
271	1843	4935
272	1849	4924
273	1854	4912
274	1859	4902
275	1864	4891
276	1870	4881
277	1875	4870
278	1880	4860
279	1886	4849
280	1891	4839
281	1897	4830
282	1902	4819
283	1908	4810
284	1913	4800
285	1918	4790
286	1924	4780
287	1929	4770
288	1935	4761
289	1940	4750
290	1945	4740
291	1950	4730
292	1956	4720
293	1961	4710
294	1966	4700
295	1972	4690
296	1977	4679
297	1982	4669
298	1987	4660
299	1993	4650
300	1998	4640
301	2003	4630
302	2009	4621
303	2014	4611
304	2019	4601
305	2024	4591
306	2029	4582
307	2035	4573
308	2040	4563
309	2046	4554
310	2051	4545
311	2056	4535
312	2061	4525
313	2067	4515
314	2073	4509
315	2078	4499
316	2084	4490
317	2089	4480
318	2094	4471
319	2100	4463
320	2105	4453
321	2111	4445
322	2116	4435
323	2121	4426
324	2126	4417
325	2131	4407
326	2137	4398
327	2142	4389
328	2147	4380
329	2153	4371
330	2158	4362
331	2163	4353
332	2168	4344
333	2174	4335
334	2179	4326
335	2185	4318
336	2190	4309
337	2196	4301
338	2201	4292
339	2206	4283
340	2212	4274
341	2217	4266
342	2223	4258
343	2228	4249
344	2233	4241
345	2239	4232
346	2244	4223
347	2249	4215
348	2255	4206
349	2260	4198
350	2266	4189
351	2271	4180
352	2276	4172
353	2281	4163
354	2286	4155
355	2292	4146
356	2297	4138
357	2303	4129
358	2308	4121
359	2313	4112
360	2318	4103
361	2323	4095
362	2329	4087
363	2334	4078
364	2339	4069
365	2344	4061
366	2349	4052
367	2355	4044
368	2360	4036
369	2365	4028
370	2371	4020
371	2376	4012
372	2382	4004
373	2387	3995
374	2392	3987
375	2398	3979
376	2403	3971
377	2408	3963
378	2413	3954
379	2419	3946
380	2424	3938
381	2429	3930
382	2435	3923
383	2440	3915
384	2445	3906
385	2451	3898
386	2456	3890
387	2461	3883
388	2467	3875
389	2472	3867
390	2477	3859
391	2483	3851
392	2488	3843
393	2493	3835
394	2498	3827
395	2504	3819
396	2509	3811
397	2514	3803
398	2520	3795
399	2525	3788
400	2530	3780
401	2536	3772
402	2541	3764
403	2546	3757
404	2552	3749
405	2557	3741
406	2562	3733
407	2567	3725
408	2572	3717
409	2578	3710
410	2583	3702
411	2589	3695
412	2594	3687
413	2599	3679
414	2605	3672
415	2610	3664
416	2615	3657
417	2621	3649
418	2627	3643
419	2632	3635
420	2638	3628
421	2643	3620
422	2648	3612
423	2653	3604
424	2658	3596
425	2664	3589
426	2669	3581
427	2674	3574
428	2680	3567
429	2685	3559
430	2691	3552
431	2696	3544
432	2701	3537
433	2706	3529
434	2712	3522
435	2717	3515
436	2722	3507
437	2728	3500
438	2733	3493
439	2738	3485
440	2744	3478
441	2750	3472
442	2756	3465
443	2762	3458
444	2767	3451
445	2773	3444
446	2779	3438
447	2785	3431
448	2790	3424
449	2795	3416
450	2801	3410
451	2806	3402
452	2811	3395
453	2817	3387
454	2822	3380
455	2827	3373
456	2832	3365
457	2838	3358
458	2843	3351
459	2848	3344
460	2854	3337
461	2859	3330
462	2865	3323
463	2870	3316
464	2875	3308
465	2881	3301
466	2886	3294
467	2892	3287
468	2897	3280
469	2902	3273
470	2907	3266
471	2913	3258
472	2918	3251
473	2923	3244
474	2929	3237
475	2934	3230
476	2939	3223
477	2945	3216
478	2951	3209
479	2956	3202
480	2961	3195
481	2967	3188
482	2972	3181
483	2977	3174
484	2983	3167
485	2988	3160
486	2993	3153
487	2999	3146
488	3004	3139
489	3010	3132
490	3015	3125
491	3020	3118
492	3025	3111
493	3031	3105
494	3036	3097
495	3041	3090
496	3046	3083
497	3052	3076
498	3057	3069
499	3062	3062
500	3067	3055
501	3073	3048
502	3078	3042
503	3083	3034
504	3088	3027
505	3094	3020
506	3099	3014
507	3104	3007
508	3110	3000
509	3115	2993
510	3120	2986
511	3125	2979
512	3131	2972
513	3136	2965
514	3141	2958
515	3146	2951
516	3151	2944
517	3157	2937
518	3162	2930
519	3167	2924
520	3173	2917
521	3178	2910
522	3183	2903
523	3189	2897
524	3194	2890
525	3199	2883
526	3204	2876
527	3210	2869
528	3215	2863
529	3220	2856
530	3226	2849
531	3231	2842
532	3237	2836
533	3242	2829
534	3247	2822
535	3254	2817
536	3260	2810
537	3265	2804
538	3270	2797
539	3276	2790
540	3281	2784
541	3286	2777
542	3292	2770
543	3297	2764
544	3302	2757
545	3308	2750
546	3313	2744
547	3319	2737
548	3324	2731
549	3329	2724
550	3335	2717
551	3340	2710
552	3345	2704
553	3350	2697
554	3356	2691
555	3361	2684
556	3366	2677
557	3371	2670
558	3376	2664
559	3382	2657
560	3387	2650
561	3392	2644
562	3397	2637
563	3403	2630
564	3408	2624
565	3413	2617
566	3419	2611
567	3424	2604
568	3429	2598
569	3435	2591
570	3441	2585
571	3446	2578
572	3451	2572
573	3457	2565
574	3462	2559
575	3467	2552
576	3472	2546
577	3478	2539
578	3483	2532
579	3488	2526
580	3494	2519
581	3499	2513
582	3504	2506
583	3509	2500
584	3515	2493
585	3520	2487
586	3525	2480
587	3531	2474
588	3536	2467
589	3541	2461
590	3547	2454
591	3552	2448
592	3557	2441
593	3562	2435
594	3568	2428
595	3573	2422
596	3578	2415
597	3584	2409
598	3589	2403
599	3594	2396
600	3600	2390
601	3605	2383
602	3610	2377
603	3616	2371
604	3621	2364
605	3626	2357
606	3632	2351
607	3637	2345
608	3642	2338
609	3647	2332
610	3653	2325
611	3658	2319
612	3663	2312
613	3668	2306
614	3674	2300
615	3679	2293
616	3684	2287
617	3689	2280
618	3694	2274
619	3700	2267
620	3705	2261
621	3710	2255
622	3716	2248
623	3721	2242
624	3727	2236
625	3732	2229
626	3737	2223
