ldr1,led2,led3,temperature1,potentiometer2,gas1,led1,air_quality1,temperature2,potentiometer1,humidity1,anomaly
76.35439,88.62745,75.749275,24.466002,46.38672,9.535656,130.0,13.511219,25.037,50.195312,61.537,1
75.69215,88.62745,74.83896,24.592001,46.289062,7.554188,0.0,15.366688,25.237,50.097656,79.437,1
76.75175,88.62745,75.749275,24.14023,46.289062,18.03175,130.0,41.440907,24.737,50.195312,63.537,1
74.23519,88.62745,73.78849,24.3476,46.289062,7.3588753,0.0,13.511219,24.937,50.097656,65.536995,1
73.83784,88.62745,72.878174,25.164001,46.38672,7.0659065,0.0,11.558094,25.437,50.195312,98.737,1
73.97029,88.62745,73.00418,24.466002,46.289062,7.651844,0.0,21.128407,25.137001,50.29297,65.837,1
76.35439,88.62745,75.749275,24.384487,46.289062,8.852062,130.0,13.21825,24.937,50.195312,61.337,1
74.50009,88.62745,73.78849,24.42902,46.289062,7.4565315,0.0,13.706532,25.137001,50.195312,65.237,1
76.61929,88.62745,75.749275,24.184904,46.289062,8.921375,0.0,16.050282,24.737,50.29297,65.036995,1
74.10274,88.62745,73.78849,24.510487,46.289062,7.7495003,0.0,14.683094,25.037,50.29297,66.036995,1
8.539821,88.62745,7.7801375,25.2019,46.38672,7.680187,130.0,12.632313,24.737,50.29297,61.963,1
76.35439,88.62745,75.749275,24.14023,46.38672,8.070812,130.0,12.339344,24.937,50.195312,61.237,1
76.88419,88.62745,75.749275,24.547564,46.38672,7.4848747,130.0,12.827625,25.237,50.195312,98.837,1
76.61929,88.62745,75.749275,24.14023,46.38672,11.948719,0.0,22.690907,24.862999,50.29297,63.537,1
76.00758,88.62745,75.68627,24.20323,46.289062,7.3431187,0.0,12.144032,24.8,50.195312,1638.3,1
29.208523,40.0,28.564451,24.30302,39.257812,7.582531,140.0,12.534657,24.837,54.492188,61.063,1
76.48685,88.62745,75.749275,24.26623,46.38672,10.386219,0.0,16.929188,24.737,50.195312,63.237,1
73.97029,88.62745,72.878174,25.082132,46.38672,7.0659065,0.0,11.558094,25.237,50.29297,98.737,1
74.10274,88.62745,73.78849,24.42902,46.289062,7.651844,0.0,14.390125,24.937,50.195312,66.437,1
74.50009,88.62745,73.78849,24.42902,46.289062,7.4565315,0.0,13.511219,24.937,50.195312,65.437,1
28.678722,88.62745,29.740921,25.448162,46.38672,7.582531,130.0,13.315907,25.337,50.195312,84.663,1
12.24843,88.62745,6.603667,26.521452,46.289062,7.289562,130.0,11.65575,24.737,50.29297,93.163,1
74.36764,88.62745,73.78849,24.510487,46.289062,7.7495003,0.0,15.562,25.037,50.195312,65.937,1
73.97029,88.62745,73.00418,24.42902,46.289062,7.554188,0.0,15.269032,24.937,50.195312,66.437,1
78.21514,88.62745,77.58405,24.42902,46.289062,6.9335938,0.0,11.948719,-3276.637,50.195312,60.837,1
76.22195,88.62745,75.749275,24.14023,46.38672,8.363781,130.0,12.534657,24.937,50.195312,61.337,1
76.35439,88.62745,75.749275,24.3476,46.289062,7.4565315,0.0,15.952625,24.837,50.29297,66.13699,1
75.95705,88.62745,74.964966,24.755175,46.289062,7.4565315,0.0,16.733875,25.463,50.195312,98.737,1
77.817795,88.62745,76.79974,24.3476,46.289062,7.4565315,0.0,12.437,-3276.637,50.195312,62.937,1
71.983536,0.0,71.043396,24.3476,0.0,7.4565315,0.0,12.827625,24.837,0.0,60.337,1
2.3146553,88.62745,1.8977846,24.384487,46.38672,7.680187,130.0,18.687,24.837,50.195312,66.063,1
76.22195,88.62745,75.749275,24.184904,46.38672,8.726063,0.0,15.171375,24.737,50.195312,63.137,1
74.10274,88.62745,73.00418,24.30302,46.289062,7.554188,0.0,19.175282,25.063,50.29297,66.536995,1
80.99016,40.0,80.063,25.119925,39.160156,7.582531,140.0,13.21825,24.837,54.492188,65.437,1
76.22195,88.62745,75.749275,24.629175,46.289062,10.609875,130.0,15.366688,25.037,50.195312,61.737,1
28.546272,40.0,27.780138,25.36602,39.257812,7.582531,140.0,12.534657,24.837,54.589844,61.663,1
73.44049,88.62745,73.00418,24.710838,46.289062,8.461437,130.0,14.194813,25.037,50.195312,63.437,1
11.586179,88.62745,13.004176,24.30302,46.38672,7.289562,130.0,11.558094,24.737,50.29297,65.86301,1
76.35439,88.62745,75.749275,24.221601,46.289062,8.461437,130.0,12.534657,24.937,50.195312,61.237,1
76.22195,88.62745,75.749275,24.710838,46.289062,12.758312,130.0,17.710438,25.037,50.195312,62.737,1
78.87095,88.62745,77.71006,25.2019,46.289062,7.3872185,130.0,12.729969,26.137001,50.097656,68.437,1
77.9438,0.0,76.92575,24.26623,79.88281,7.7495003,0.0,12.925282,24.837,0.29296875,60.237,1
