ldr1,led2,led3,temperature1,potentiometer2,gas1,led1,air_quality1,temperature2,potentiometer1,humidity1,anomaly
76.37035,88.62745,75.765236,24.45,46.38672,9.393656,130.0,13.495218,25.021,50.195312,61.521,1
75.70811,88.62745,74.98093,24.608002,46.289062,7.5381875,0.0,15.350687,25.220999,50.097656,79.421036,1
76.76771,88.62745,75.765236,24.12423,46.289062,17.88975,130.0,41.424908,24.720999,50.195312,63.521,1
74.25115,88.62745,73.80445,24.363602,46.289062,7.342875,0.0,13.495218,24.921,50.097656,65.521034,1
73.8538,88.62745,73.02014,25.180002,46.38672,7.0499063,0.0,11.542093,25.421,50.195312,98.72104,1
73.98625,88.62745,73.02014,24.608002,46.289062,7.6358438,0.0,21.112406,25.121,50.29297,65.82104,1
76.37035,88.62745,75.765236,24.368486,46.289062,8.710062,130.0,13.20225,24.921,50.195312,61.321003,1
74.51605,88.62745,73.80445,24.44502,46.289062,7.4405313,0.0,13.690531,25.121,50.195312,65.22104,1
76.635254,88.62745,75.765236,24.200905,46.289062,8.905375,0.0,16.03428,24.720999,50.29297,65.021034,1
74.1187,88.62745,73.80445,24.526487,46.289062,7.7335,0.0,14.667093,25.021,50.29297,66.021034,1
8.555821,88.62745,7.9221373,25.1859,46.38672,7.5381875,130.0,12.616312,24.720999,50.29297,61.979,1
76.37035,88.62745,75.765236,24.12423,46.38672,7.9288125,130.0,12.323343,24.921,50.195312,61.221,1
76.900154,88.62745,75.765236,24.531563,46.38672,7.342875,130.0,12.811625,25.220999,50.195312,98.82104,1
76.635254,88.62745,75.765236,24.12423,46.38672,11.932718,0.0,22.674906,24.720999,50.29297,63.521,1
76.02649,88.62745,75.68627,24.20323,46.289062,7.3242188,0.0,12.207031,24.8,50.195312,1638.3,1
29.350523,40.0,28.706451,24.28702,39.257812,7.4405313,140.0,12.518656,24.821,54.492188,61.079,1
76.50281,88.62745,75.765236,24.28223,46.38672,10.370218,0.0,16.913187,24.720999,50.195312,63.221,1
73.98625,88.62745,73.02014,25.098133,46.38672,7.0499063,0.0,11.542093,25.220999,50.29297,98.72104,1
74.1187,88.62745,73.80445,24.44502,46.289062,7.6358438,0.0,14.374125,24.921,50.195312,66.421036,1
74.51605,88.62745,73.80445,24.44502,46.289062,7.4405313,0.0,13.495218,24.921,50.195312,65.421036,1
28.662722,88.62745,29.72492,25.432161,46.38672,7.4405313,130.0,13.299906,25.321,50.195312,84.67896,1
12.264431,88.62745,6.7456665,26.505451,46.289062,7.1475625,130.0,11.63975,24.720999,50.29297,93.17896,1
74.3836,88.62745,73.80445,24.526487,46.289062,7.7335,0.0,15.546,25.021,50.195312,65.921036,1
73.98625,88.62745,73.02014,24.44502,46.289062,7.5381875,0.0,15.253031,24.921,50.195312,66.421036,1
78.19918,88.62745,77.72602,24.44502,46.289062,6.9335938,0.0,11.932718,-3276.7,50.195312,60.821003,1
76.23791,88.62745,75.765236,24.12423,46.38672,8.221781,130.0,12.518656,24.921,50.195312,61.321003,1
76.37035,88.62745,75.765236,24.363602,46.289062,7.4405313,0.0,15.936625,24.821,50.29297,66.12103,1
75.97301,88.62745,74.98093,24.771175,46.289062,7.4405313,0.0,16.717875,25.321,50.195312,98.72104,1
77.801834,88.62745,76.94171,24.363602,46.289062,7.4405313,0.0,12.421,-3276.7,50.195312,62.921,1
71.9995,0.0,71.05936,24.363602,0.0,7.4405313,0.0,12.811625,24.821,0.0,60.321003,1
2.3306556,88.62745,2.0397842,24.368486,46.38672,7.5381875,130.0,18.671,24.821,50.195312,66.078964,1
76.23791,88.62745,75.765236,24.200905,46.38672,8.710062,0.0,15.155375,24.720999,50.195312,63.121002,1
74.1187,88.62745,73.02014,24.44502,46.289062,7.5381875,0.0,19.15928,24.921,50.29297,66.521034,1
81.00612,40.0,80.078964,25.103924,39.160156,7.4405313,140.0,13.20225,24.821,54.492188,65.421036,1
76.23791,88.62745,75.765236,24.613174,46.289062,10.467875,130.0,15.350687,25.021,50.195312,61.721,1
28.688272,40.0,27.922138,25.35002,39.257812,7.4405313,140.0,12.518656,24.821,54.589844,61.678997,1
73.45645,88.62745,73.02014,24.694838,46.289062,8.319437,130.0,14.178812,25.021,50.195312,63.421,1
11.60218,88.62745,13.020177,24.28702,46.38672,7.1475625,130.0,11.542093,24.720999,50.29297,65.87897,1
76.37035,88.62745,75.765236,24.2056,46.289062,8.319437,130.0,12.518656,24.921,50.195312,61.221,1
76.23791,88.62745,75.765236,24.694838,46.289062,12.616312,130.0,17.694437,25.021,50.195312,62.721,1
78.88691,88.62745,77.72602,25.1859,46.289062,7.2452188,130.0,12.713968,26.121,50.097656,68.421036,1
77.95976,0.0,76.94171,24.28223,79.88281,7.7335,0.0,12.909281,24.821,0.29296875,60.221,1
74.1187,88.62745,73.80445,24.934551,46.38672,6.95225,0.0,11.444437,25.220999,50.195312,79.021034,1
74.51605,88.62745,73.80445,24.526487,46.289062,7.4405313,0.0,13.690531,25.121,50.195312,65.32104,1
32.39688,88.62745,31.843706,24.2056,46.38672,8.055214,130.0,13.788187,24.921,50.195312,63.378998,1
76.635254,88.62745,75.765236,24.28223,46.289062,8.807718,0.0,15.838968,24.720999,50.195312,65.021034,1
75.1783,88.62745,74.98093,24.526487,46.289062,7.5381875,0.0,16.717875,25.321,50.195312,65.72104,1
73.98625,88.62745,73.02014,25.267931,46.289062,7.0499063,130.0,11.542093,26.321,50.195312,98.72104,1
74.3836,88.62745,73.80445,24.608002,46.289062,7.7335,0.0,16.81553,25.220999,50.195312,65.62103,1
64.71473,88.62745,29.882921,24.940132,87.01172,8.184469,242.0,13.690531,26.421,92.96875,98.87897,1
27.36377,88.62745,26.745667,24.694838,46.289062,8.965719,130.0,14.76475,24.921,50.195312,64.27896,1
76.50281,88.62745,75.765236,24.200905,46.289062,9.100687,0.0,15.643656,24.720999,50.195312,63.121002,1
76.23791,88.62745,75.765236,24.613174,46.289062,12.323343,130.0,17.694437,25.021,50.195312,62.721,1
76.37035,88.62745,75.765236,24.694838,46.289062,13.788187,130.0,19.354593,25.021,50.29297,65.87897,1
68.68823,88.62745,67.922104,24.2056,46.289062,7.6358438,130.0,13.299906,24.921,50.195312,49.5,1
76.76771,88.62745,75.765236,24.200905,46.38672,8.905375,0.0,16.131937,24.720999,50.29297,65.021034,1
76.23791,88.62745,75.765236,24.531563,46.289062,9.979593,130.0,14.471781,25.021,50.195312,61.521,1
73.98625,88.62745,73.80445,24.44502,46.38672,7.6358438,0.0,15.936625,24.921,50.29297,66.521034,1
74.6485,88.62745,73.80445,24.44502,46.289062,8.710062,0.0,17.303812,24.921,50.29297,65.421036,1
76.23791,88.62745,75.765236,24.363602,46.38672,8.905375,0.0,16.03428,24.720999,50.195312,65.12103,1
73.98625,18.82353,73.02014,24.363602,18.75,7.342875,0.0,12.421,24.821,0.09765625,60.321003,1
76.37035,88.62745,75.765236,24.363602,46.289062,8.905375,0.0,16.424906,24.720999,50.195312,64.921036,1
74.51605,88.62745,73.80445,24.44502,46.289062,7.4405313,0.0,13.495218,24.921,50.195312,65.521034,1
13.986285,88.62745,11.843706,25.678936,46.38672,7.1475625,130.0,12.225687,24.921,50.195312,63.378998,1
75.31075,88.62745,74.98093,24.526487,46.38672,7.5381875,0.0,17.694437,25.321,50.195312,65.921036,1
77.95976,88.62745,76.94171,25.35002,46.289062,7.4405313,130.0,13.006937,26.421,50.195312,98.72104,1
59.8141,88.62745,58.902527,24.613174,46.289062,7.4405313,130.0,12.518656,24.720999,50.195312,73.12103,1
76.635254,88.62745,75.765236,24.28223,46.38672,10.272562,0.0,18.37803,24.720999,50.195312,63.321003,1
80.873665,40.0,80.078964,25.267931,39.257812,7.4405313,140.0,13.20225,24.821,54.492188,65.421036,1
76.76771,88.62745,75.765236,24.28223,46.38672,8.905375,0.0,16.229593,24.720999,50.195312,65.021034,1
74.6485,88.62745,73.80445,24.44502,46.289062,7.4405313,0.0,14.178812,25.121,50.195312,65.421036,1
76.50281,88.62745,75.765236,24.363602,46.38672,8.612406,0.0,15.350687,24.720999,50.195312,64.921036,1
74.1187,88.62745,73.80445,24.44502,46.289062,7.6358438,0.0,14.960062,24.921,50.195312,66.421036,1
74.1187,88.62745,73.02014,24.28223,46.289062,7.4405313,0.0,15.741312,24.821,50.29297,66.22104,1
76.50281,88.62745,75.765236,24.12423,46.289062,23.84678,130.0,63.49522,24.720999,50.195312,63.521,1
75.70811,88.62745,75.765236,24.858315,46.289062,58.417095,130.0,56.561626,24.821,50.195312,73.32104,1
76.635254,88.62745,75.765236,24.28223,46.289062,8.612406,0.0,15.546,24.720999,50.195312,64.921036,1
74.25115,88.62745,73.80445,24.608002,46.38672,7.6358438,0.0,18.671,25.121,50.195312,65.72104,1
73.69587,88.62745,73.02014,24.28223,46.38672,7.0499063,0.0,11.542093,-3276.7,50.195312,76.62103,1
15.973041,88.62745,14.980961,24.531563,46.289062,7.1475625,130.0,12.128031,24.821,50.195312,61.279,1
76.76771,88.62745,75.765236,24.28223,46.38672,9.588968,0.0,16.620218,24.720999,50.29297,63.221,1
74.25115,88.62745,73.80445,24.363602,46.289062,7.6358438,0.0,15.838968,24.921,50.195312,66.32104,1
73.98625,88.62745,73.02014,24.44502,46.38672,7.6358438,0.0,14.667093,24.921,50.195312,66.521034,1
78.22466,88.62745,77.72602,24.613174,46.289062,7.6358438,130.0,13.20225,25.021,50.195312,98.72104,1
76.23791,88.62745,75.765236,24.28702,46.289062,8.417093,130.0,12.616312,24.921,50.195312,61.121002,1
76.37035,88.62745,75.765236,24.119623,46.38672,8.612406,0.0,16.131937,24.720999,50.195312,65.021034,1
30.252125,88.62745,29.72492,25.514362,46.289062,7.342875,130.0,13.104593,25.321,50.195312,84.67896,1
74.25115,88.62745,73.80445,24.44502,46.289062,7.6358438,0.0,14.569437,24.921,50.195312,66.22104,1
76.50281,88.62745,75.765236,24.28223,46.38672,9.296,0.0,16.32725,24.720999,50.195312,63.121002,1
76.635254,88.62745,75.765236,24.28223,46.289062,8.807718,0.0,16.424906,24.720999,50.195312,64.921036,1
23.390259,88.62745,22.039785,24.694838,87.01172,8.026468,242.0,13.690531,26.621,92.96875,98.87897,1
73.98625,88.62745,73.02014,24.363602,46.38672,7.6358438,0.0,17.303812,24.821,50.195312,66.32104,1
68.290886,88.62745,67.922104,24.613174,46.289062,7.1475625,130.0,12.225687,25.321,50.195312,61.621002,1
76.37035,88.62745,75.765236,24.200905,46.289062,8.710062,0.0,15.936625,24.720999,50.195312,65.021034,1
76.23791,88.62745,75.765236,24.28223,46.38672,9.100687,0.0,15.741312,24.720999,50.29297,63.121002,1
81.192055,0.0,80.78432,24.28223,79.78516,7.6358438,0.0,12.713968,24.821,0.29296875,60.121002,1
81.192055,0.0,80.78432,24.28223,79.88281,7.6358438,0.0,12.713968,24.821,0.1953125,60.121002,1
78.48956,88.62745,77.72602,24.694838,46.289062,7.1475625,130.0,13.495218,25.321,50.097656,63.221,1
74.1187,88.62745,73.02014,24.363602,46.38672,7.6358438,0.0,14.471781,24.921,50.195312,66.421036,1
74.1187,88.62745,73.80445,24.608002,46.289062,7.6358438,0.0,19.647562,25.021,50.29297,65.82104,1
74.25115,88.62745,73.80445,24.526487,46.38672,7.7335,0.0,17.206156,25.121,50.29297,65.82104,1
73.98625,88.62745,73.02014,24.771175,46.38672,6.95225,0.0,11.444437,25.321,50.195312,66.521034,1
