connectortype,durationcharge,durationsession,energy,tariff,cost,meanpower,maxpower,anomaly
0.0,0.835,0.87499994,15.819,0.022499999,0.0,5.331,7.2,1
0.0,1.45,7.2700005,8.034,0.014999999,0.0,5.5660005,7.2,1
0.0,0.735,2.8149996,3.934,1.1500005,4.3150005,5.5000005,7.2,1
0.0,0.4975,1.4025004,4.858499,0.037499998,0.0075,3.6345,7.2,1
0.0,0.009999998,0.085,0.092,1.1550003,0.07,6.1399984,7.2,1
0.0,1.145,1.2650003,-0.40200007,0.39499992,2.2550006,5.8960004,7.2,1
0.0,2.93,2.1299996,12.033001,0.3375,4.0025,4.117,7.2,1
0.0,2.1800003,8.854997,6.5480003,0.38499996,2.1900003,2.9410002,7.2,1
0.0,5.7274995,1.8325001,3.8364997,0.27749997,0.9125,2.8665001,7.2,1
0.0,4.5574994,4.627501,7.3985004,0.037499998,0.0,6.126499,7.2,1
0.0,0.42999998,0.42999998,25.757002,0.60499996,1.5700002,6.5450006,7.2,1
0.0,0.12,0.42999998,2.3430002,0.715,1.5950001,5.895,7.2,1
0.0,0.51000005,2.0050004,12.128999,0.42999998,4.794999,6.5809994,7.2,1
0.0,3.2500005,3.3799994,2.0879996,0.9,9.550002,3.2770004,7.2,1
0.0,0.195,0.23999995,3.9889998,0.92499995,0.965,6.0260005,7.2,1
0.0,2.4675002,2.8425,2.8964996,0.0525,0.03,5.608499,7.2,1
0.0,3.0249999,3.005,84.295,0.0,0.015,5.1190004,7.2,1
0.0,4.834999,3.2549996,15.913,0.84,12.905,3.261,7.2,1
0.0,0.72999996,1.1700002,3.7280002,1.1500005,4.0649996,3.2970002,7.2,1
0.0,0.615,1.7150002,3.683,0.40499997,1.33,5.885,7.2,1
0.0,3.3549998,16.65,11.008,0.0075,0.0,3.296,7.2,1
0.0,0.06999999,0.15499999,-0.46700007,0.03,0.0,3.0090003,7.2,1
0.0,1.0899998,1.205,2.561,0.044999998,0.015,5.864,7.2,1
0.0,2.4500005,2.9049995,1.8070004,1.1550003,7.3199987,2.5890005,7.2,1
0.0,0.38500002,0.13999999,0.26599997,0.014999999,0.014999999,3.0920005,7.2,1
0.0,7.764999,2.2199998,13.222999,1.2500002,16.035002,5.971999,7.2,1
0.0,2.0550003,7.760001,11.128999,0.044999998,0.0,5.239999,7.2,1
0.0,0.54,2.0149999,11.782001,0.03,0.037499998,5.958,7.2,1
0.0,0.71,6.605001,1.743,1.1500002,1.9199998,2.4250002,7.2,1
0.0,1.2975,1.3075,30.740501,0.022499999,0.022499999,3.1314998,7.2,1
0.0,7.6049995,1.78,5.356001,0.06,0.0075,2.9620004,7.2,1
0.0,2.8025,10.812498,11.094501,0.022499997,0.0,3.9285002,7.2,1
0.0,1.5699998,2.915,3.385,0.03,0.0075,4.6269994,7.2,1
0.0,2.45,2.8049998,1.7119999,0.03,0.022499997,3.0559998,7.2,1
0.0,2.2625,2.2875,79.3935,0.015,0.015,5.5365,7.2,1
0.0,7.9374995,7.9775,6.6465006,0.0525,0.0075,3.1835003,7.2,1
0.0,1.5399996,3.215,0.35999995,0.074999996,0.0075,3.1440003,7.2,1
0.0,0.02,1.8800002,0.28800002,0.037499998,0.0,5.0650005,7.2,1
0.0,2.7175002,2.5824997,4.7755003,0.022499999,0.0075,5.4574995,7.2,1
0.0,2.2275004,1.1625004,6.9634995,0.0525,0.0,3.0415,7.2,1
0.0,2.3300002,0.64,3.6109998,0.015,0.0075,5.9779997,7.2,1
0.0,1.3674996,1.4575002,3.2164996,1.2875005,10.232502,5.892499,7.2,1
0.0,15.735001,3.245,20.029999,0.84,16.195,6.1819997,7.2,1
0.0,2.9425,2.9275002,102.7705,0.037499998,0.037499998,4.4005,7.2,1
0.0,1.74,1.7550001,72.338,0.77,7.7300005,5.9920006,7.2,1
0.0,1.9675001,2.4775,37.0885,1.1375,6.7375007,3.0314999,7.2,1
0.0,1.435,2.5649998,1.4690005,0.06,0.0,2.9280005,7.2,1
0.0,0.78,2.1149995,6.7589993,1.1000004,7.0750003,3.3259997,7.2,1
0.0,2.4525,9.287498,7.3895,0.03,0.0,2.9785001,7.2,1
0.0,1.4249997,6.315001,4.673001,0.044999998,0.0075,3.1140003,7.2,1
0.0,2.4025002,1.4675001,13.9085,0.0075,0.0075,5.7605,7.2,1
0.0,2.4325004,2.7324998,0.6515,0.067499995,0.029999997,5.5244985,7.2,1
0.0,1.3225,1.3625002,22.5835,0.015,0.022499999,6.0645,7.2,1
0.0,3.1225004,8.562499,18.863499,0.48749995,8.432502,5.9204993,7.2,1
0.0,4.8349996,1.5150001,5.334,0.72499996,3.79,5.4279995,7.2,1
0.0,4.06,1.18,13.291,0.015,0.0075,3.277,7.2,1
0.0,0.2,0.115,1.148,0.45999998,0.505,5.74,7.2,1
0.0,3.0175,4.3275003,116.3175,0.7625,9.1275,3.9445,7.2,1
0.0,1.5,1.5450003,47.297,0.03,0.015,3.2869997,7.2,1
0.0,1.4550003,3.955,4.287,0.044999998,0.03,3.1239998,7.2,1
0.0,15.560001,3.3299997,11.328,0.03,0.0,3.4130003,7.2,1
0.0,0.7775,2.0125003,7.1605,0.0075,0.0075,4.9705,7.2,1
