connectortype,durationcharge,durationsession,energy,tariff,cost,meanpower,maxpower,anomaly
0.0,0.82,0.83,15.834,0.0,0.0,5.346,7.2,1
0.0,1.3308003,7.389002,7.8999977,0.0,0.0,5.4913993,7.2,1
0.0,0.6902,2.6210003,4.0384,1.2389997,4.150998,5.335998,7.2,1
0.0,0.6390003,1.3202001,4.746998,0.149,0.149,3.7759998,7.2,1
0.0,0.0447,0.01,0.211,1.11,0.0,6.3192015,7.2,1
0.0,1.0710003,1.3689997,-0.328,0.46899998,2.1810002,5.821998,7.2,1
0.0,2.7810004,2.2489996,11.913998,0.479,4.1290016,4.266002,7.2,1
0.0,2.3589997,8.630998,6.682002,0.19100001,2.0710003,2.8070004,7.2,1
0.0,5.75,1.81,3.814,0.24,0.92,2.889,7.2,1
0.0,4.430998,4.739002,7.525002,0.149,0.149,6.014998,7.2,1
0.0,0.4,0.4,25.787,0.59,1.54,6.515,7.2,1
0.0,0.269,0.5490001,2.2090003,0.5209997,1.7289997,6.044002,7.2,1
0.0,0.6890003,2.1089997,11.949998,0.5490001,4.989002,6.760002,7.2,1
0.0,3.1610003,3.4689996,2.1919997,1.0190002,9.460998,3.1880002,7.2,1
0.0,0.329,0.329,3.8700001,1.0290002,1.0989999,6.160002,7.2,1
0.0,2.3410003,2.9989996,3.0079997,0.149,0.149,5.496998,7.2,1
0.0,3.01,3.02,84.31,0.0,0.0,5.104,7.2,1
0.0,4.730998,3.3589997,15.763998,0.72059983,13.039002,3.4099996,7.2,1
0.0,0.8490003,0.99100024,3.5940003,0.9410001,4.229002,3.4609997,7.2,1
0.0,0.5405998,1.5510004,3.8469996,0.509,1.1810004,5.720998,7.2,1
0.0,3.1910002,16.769003,11.157002,0.0,0.0,3.1470003,7.2,1
0.0,0.0,0.01,-0.39299995,0.0,0.0,2.9050002,7.2,1
0.0,0.9710002,1.2789997,2.7099998,0.149,0.0,5.729998,7.2,1
0.0,2.3610003,2.7110002,1.8959997,1.2589997,7.230998,2.5000002,7.2,1
0.0,0.25100002,0.22899999,0.39999998,0.0,0.0,2.9880004,7.2,1
0.0,7.81,2.19,13.178,1.22,16.08,6.017,7.2,1
0.0,2.2489996,7.5509977,10.949998,0.149,0.0,5.135998,7.2,1
0.0,0.6890003,2.1489997,11.647998,0.149,0.149,6.1070023,7.2,1
0.0,0.5609997,6.410998,1.5940003,1.2689997,2.0989997,2.6039996,7.2,1
0.0,1.29,1.3,30.763,0.0,0.0,3.109,7.2,1
0.0,7.62,1.78,5.326,0.0,0.0,2.992,7.2,1
0.0,2.9589996,10.610998,11.012599,0.149,0.0,3.8020003,7.2,1
0.0,1.4510003,2.7510004,3.5339997,0.149,5.5879354e-09,4.507998,7.2,1
0.0,2.3010004,2.79,1.8759997,0.149,0.0,2.8920002,7.2,1
0.0,2.27,2.28,79.386,0.0,0.0,5.544,7.2,1
0.0,7.810998,7.8805985,6.773002,0.149,0.149,3.0720003,7.2,1
0.0,1.4510003,3.3489997,0.449,0.149,0.0,3.0400002,7.2,1
0.0,0.0498,1.7010003,0.303,0.149,0.0,5.1990023,7.2,1
0.0,2.5910003,2.7089996,4.917002,0.149,0.149,5.330998,7.2,1
0.0,2.1310003,1.2589997,6.836998,0.149,0.0,3.2129996,7.2,1
0.0,2.36,0.61,3.596,0.0,0.0,5.993,7.2,1
0.0,1.2710003,1.4497999,3.3129997,1.3,10.120998,5.7809978,7.2,1
0.0,15.75,3.23,20.015,0.81,16.21,6.197,7.2,1
0.0,2.95,2.95,102.763,0.0,0.0,4.408,7.2,1
0.0,1.74,1.74,72.353,0.74,7.7,5.977,7.2,1
0.0,1.96,2.47,37.111,1.13,6.7,3.024,7.2,1
0.0,1.3010004,2.4010003,1.5579997,0.149,0.0,2.8390002,7.2,1
0.0,0.8990003,1.9210002,6.639998,0.9505999,7.209002,3.4449997,7.2,1
0.0,2.6089997,9.100998,7.531002,0.0,0.0,2.8520002,7.2,1
0.0,1.6189997,6.120998,4.792002,0.0,0.0,3.0100002,7.2,1
0.0,2.2610004,1.6089997,13.751998,0.0745,0.149,5.917002,7.2,1
0.0,2.3210003,2.8589997,0.7630003,0.149,0.0,5.442998,7.2,1
0.0,1.33,1.34,22.576,0.0,0.0,6.072,7.2,1
0.0,3.3089998,8.390998,18.975002,0.59900016,8.619002,5.808998,7.2,1
0.0,4.85,1.5,5.334,0.71,3.79,5.443,7.2,1
0.0,4.06,1.18,13.306,0.0,0.0,3.277,7.2,1
0.0,0.2298,0.1892,1.0288002,0.5790002,0.5496001,5.8592014,7.2,1
0.0,3.01,4.32,116.325,0.77,9.12,3.937,7.2,1
0.0,1.5,1.5,47.342,0.0,0.0,3.257,7.2,1
0.0,1.5589997,3.7910004,4.212998,0.0447,0.0894,3.1834,7.2,1
0.0,15.59,3.3,11.328,0.0,0.0,3.443,7.2,1
0.0,0.91900027,1.8706002,7.018998,0.0,0.149,5.1270022,7.2,1
0.0,1.1510003,1.4489996,-0.062000006,0.8890003,3.0310004,3.1610003,7.2,1
0.0,5.8209977,3.3389997,7.5894012,0.6390003,3.5210004,2.6600003,7.2,1
0.0,1.3810003,1.6889997,3.6389997,0.149,0.0,4.822998,7.2,1
0.0,2.3610003,12.969002,7.9109983,0.0,0.0,3.3599997,7.2,1
0.0,7.71,2.61,5.953,0.52,3.1,2.918,7.2,1
0.0,2.43,0.73,7.619,1.2,9.14,3.135,7.2,1
0.0,0.98900026,2.1289997,11.725998,0.149,0.149,6.1460023,7.2,1
0.0,2.5589998,10.210998,14.342998,0.0447,0.0,5.863998,7.2,1
0.0,2.1695998,2.2789998,16.001997,0.149,0.149,3.0729997,7.2,1
0.0,0.8409997,1.1389997,-0.33600003,0.149,0.0,2.1000004,7.2,1
0.0,3.13,0.69,2.275,0.0,0.0,3.297,7.2,1
0.0,3.9,4.15,96.485,0.11,1.3,3.04,7.2,1
0.0,0.58900017,1.5610003,2.9910004,0.90099984,3.4489996,4.392002,7.2,1
0.0,0.349,0.66900027,2.7410004,0.6009997,2.3189998,5.707002,7.2,1
0.0,3.4010003,3.6989996,3.5569997,0.299,2.2810004,4.4059978,7.2,1
0.0,1.0190002,2.7089996,11.566998,0.149,0.149,6.036002,7.2,1
0.0,0.309,0.4798,1.2210003,5.5879354e-09,0.149,3.2629998,7.2,1
0.0,1.3089997,5.010998,2.6860003,0.0894,0.149,2.4142,7.2,1
0.0,1.0290002,2.0710003,2.7286003,0.149,0.059600003,3.1126,7.2,1
0.0,2.84,2.98,90.895,0.0,0.0,5.812,7.2,1
0.0,0.07,0.0249,0.2922,0.1192,0.0,6.080798,7.2,1
0.0,0.19919999,0.1402,0.541,0.1043,0.0894,3.182,7.2,1
0.0,0.479,3.3210003,1.4120003,0.149,0.059600003,4.789601,7.2,1
0.0,1.31,1.31,46.704,0.0,0.0,5.882,7.2,1
0.0,1.089,1.4510003,2.5750003,0.449,0.9690003,2.0809999,7.2,1
0.0,0.9090003,1.7810003,5.283998,1.0290002,4.9290023,2.9789996,7.2,1
0.0,2.5489998,9.860998,12.669998,0.47039992,6.640998,5.341,7.2,1
0.0,2.2610004,1.6289997,12.750998,1.3,15.499002,5.5020022,7.2,1
0.0,1.0410004,1.3489997,1.7479997,0.149,5.5879354e-09,3.2120004,7.2,1
0.0,3.05,4.35,127.528,0.0,0.0,5.032,7.2,1
0.0,2.2810004,1.0090003,2.8379996,0.9790003,2.0810003,2.9780004,7.2,1
0.0,2.3789997,8.260998,6.503002,0.0,0.0,2.7000003,7.2,1
0.0,1.4289997,4.660998,3.7480004,0.0,0.149,3.1939998,7.2,1
0.0,0.419,0.9390003,4.118998,0.0,0.149,5.621002,7.2,1
0.0,3.87,3.95,62.077,0.26,3.05,3.031,7.2,1
0.0,2.85,1.04,6.032,0.44,2.65,5.8,7.2,1
0.0,4.05,1.17,4.211,0.0,0.0,3.599,7.2,1
0.0,4.379002,16.890999,19.305601,0.149,0.0,4.400998,7.2,1
0.0,1.67,1.73,36.663,0.0,0.0,5.688,7.2,1
0.0,0.9990003,1.9089997,10.309998,0.149,0.149,6.1260023,7.2,1
0.0,1.4810003,1.1889997,9.576998,0.921,10.559002,6.116002,7.2,1
0.0,0.7209997,1.1689997,-0.351,0.6190002,2.6510003,6.703998,7.2,1
0.0,0.6307998,0.449,3.5240004,0.49899998,1.3197999,5.046002,7.2,1
0.0,4.94,1.1,6.526,0.77,5.03,5.987,7.2,1
0.0,2.8389997,3.2889998,20.097998,0.0,0.149,2.9429996,7.2,1
0.0,2.15,2.15,83.663,0.0,0.0,4.107,7.2,1
0.0,1.3010004,0.8690003,4.088998,0.5490001,1.5510004,3.0719998,7.2,1
0.0,3.4489996,7.560998,11.228003,0.489,3.6210003,3.2080004,7.2,1
0.0,3.0410004,3.3489997,7.608002,0.0,0.149,5.936998,7.2,1
0.0,4.0,1.18,12.904,0.0,0.0,3.226,7.2,1
0.0,1.8510003,2.9110003,0.6730003,0.7190003,3.3310003,2.9040003,7.2,1
0.0,0.3406,0.329,2.3840003,1.3,3.0898,6.040002,7.2,1
0.0,2.5,2.51,126.493,0.0,0.0,5.974,7.2,1
0.0,4.420998,2.5289998,5.694002,1.1489997,5.689002,3.0380003,7.2,1
0.0,0.321,0.309,0.6360003,1.0590001,0.291,2.8950002,7.2,1
0.0,1.3110003,0.6490003,1.6239997,0.149,0.0,2.8610003,7.2,1
0.0,8.22,2.46,7.646,0.0,0.0,3.121,7.2,1
0.0,0.64099973,0.449,1.0140003,1.0090003,0.5909997,2.8340003,7.2,1
0.0,19.61,4.55,14.174,0.0,0.0,3.579,7.2,1
0.0,0.43,0.44,8.001,0.0,0.0,3.884,7.2,1
0.0,4.29,0.9,2.917,0.53,1.55,3.241,7.2,1
0.0,2.34,0.55,1.021,0.0,0.0,2.127,7.2,1
0.0,2.3010004,2.6089997,3.6789997,0.149,0.149,5.821998,7.2,1
0.0,1.3510003,8.699002,4.580998,0.0,0.0,3.3019998,7.2,1
0.0,0.369,1.0090003,4.903998,0.53079975,3.4289997,6.0940022,7.2,1
0.0,2.77,0.83,8.05,0.75,6.04,2.906,7.2,1
0.0,2.2110002,1.1989996,7.270998,1.3,9.499002,3.2929997,7.2,1
0.0,0.43,0.43,8.3,0.37,0.51,3.221,7.2,1
0.0,1.2089996,2.9610002,7.749998,0.96100014,8.919003,2.7819996,7.2,1
