connectortype,durationcharge,durationsession,energy,tariff,cost,meanpower,maxpower,anomaly
0.0,0.82,0.83,15.834,0.0,0.0,5.346,7.2,1
0.0,1.3516002,7.4039984,7.885,0.0,0.0,5.452601,7.2,1
0.0,0.72,2.606,4.1129994,1.2539998,4.1360016,5.3210015,7.2,1
0.0,0.6539998,1.2844001,4.7320013,0.16399999,0.0,3.7910001,7.2,1
0.0,0.0492,0.01,0.22600001,1.11,0.0,6.2327995,7.2,1
0.0,1.0560002,1.3839998,-0.313,0.484,2.166,5.8070016,7.2,1
0.0,2.766,2.264,11.899,0.49400002,4.143999,4.2809987,7.2,1
0.0,2.374,8.616,6.6969986,0.24159996,2.056,2.792,7.2,1
0.0,5.75,1.81,3.814,0.24,0.92,2.889,7.2,1
0.0,4.4160013,4.7539988,7.5399985,0.16399999,0.16399999,6.0000014,7.2,1
0.0,0.4,0.4,25.787,0.59,1.54,6.515,7.2,1
0.0,0.28399998,0.53120005,2.2267992,0.5060002,1.7439998,6.026199,7.2,1
0.0,0.7039998,2.124,11.935,0.564,5.0039988,6.7749987,7.2,1
0.0,3.146,3.484,2.207,1.0339998,9.446,3.1729999,7.2,1
0.0,0.344,0.344,3.855,0.91279995,1.1139998,6.1749988,7.2,1
0.0,2.326,3.014,3.023,0.16399999,0.16399999,5.4820013,7.2,1
0.0,3.01,3.02,84.31,0.0,0.0,5.104,7.2,1
0.0,4.7160015,3.374,15.749001,0.7116001,13.054,3.425,7.2,1
0.0,0.8639998,0.9760002,3.579,0.92600024,4.2439985,3.476,7.2,1
0.0,0.5316001,1.5360003,3.7964005,0.52400005,1.2316002,5.738801,7.2,1
0.0,3.1759999,16.783995,11.172,0.0,0.0,3.132,7.2,1
0.0,0.0,0.01,-0.378,0.0,0.0,2.8899999,7.2,1
0.0,0.9560002,1.2939998,2.7250001,0.16399999,0.0,5.7150016,7.2,1
0.0,2.346,2.6959999,1.9109998,1.2739998,7.2160015,2.485,7.2,1
0.0,0.236,0.21119997,0.415,0.0,0.0,2.973,7.2,1
0.0,7.81,2.19,13.178,1.22,16.08,6.017,7.2,1
0.0,2.264,7.536001,10.935,0.16399999,0.0,5.1210012,7.2,1
0.0,0.7039998,2.164,11.633,0.16399999,0.16399999,6.121999,7.2,1
0.0,0.5460002,6.3960013,1.5790002,1.2839998,2.0484002,2.619,7.2,1
0.0,1.29,1.3,30.763,0.0,0.0,3.109,7.2,1
0.0,7.62,1.78,5.326,0.0,0.0,2.992,7.2,1
0.0,2.974,10.596001,11.102,0.16399999,0.0,3.787,7.2,1
0.0,1.4360002,2.736,3.549,0.16399999,0.0,4.4930015,7.2,1
0.0,2.286,2.6915994,1.8909998,0.16399999,0.0,2.8769999,7.2,1
0.0,2.27,2.28,79.386,0.0,0.0,5.544,7.2,1
0.0,7.7960014,7.838801,6.7879987,0.16399999,0.16399999,3.057,7.2,1
0.0,1.4360002,3.364,0.46400002,0.16399999,0.0,3.0249999,7.2,1
0.0,0.0528,1.6860002,0.27019998,0.16399999,0.0328,5.213999,7.2,1
0.0,2.576,2.724,4.9319987,0.16399999,0.16399999,5.3160014,7.2,1
0.0,2.116,1.2739998,6.8220015,0.16399999,0.0,3.228,7.2,1
0.0,2.36,0.61,3.596,0.0,0.0,5.993,7.2,1
0.0,1.2560002,1.3544,3.328,1.3,10.106001,5.766001,7.2,1
0.0,15.75,3.23,20.015,0.81,16.21,6.197,7.2,1
0.0,2.95,2.95,102.763,0.0,0.0,4.408,7.2,1
