connectortype,durationcharge,durationsession,energy,tariff,cost,meanpower,maxpower,anomaly
0.0,0.82,0.83,15.834,0.0,0.0,5.346,7.2,1
0.0,1.4480001,7.238002,8.047,0.0,0.0,5.549002,7.2,1
0.0,0.7180003,2.768,3.951,1.092,4.2980022,5.483002,7.2,1
0.0,0.492,1.352,4.894002,0.0,0.0019999999,3.6290002,7.2,1
0.0,0.008000003,0.098000005,0.063999996,1.112,0.068,6.198002,7.2,1
0.0,1.218,1.222,-0.475,0.322,2.3279998,5.9690022,7.2,1
0.0,2.928,2.102,12.065,0.328,3.982,4.118998,7.2,1
0.0,2.2120001,8.782,6.531002,0.338,2.218,2.954,7.2,1
0.0,5.75,1.81,3.814,0.24,0.92,2.889,7.2,1
0.0,4.578002,4.591998,7.377998,0.0019999999,0.0,6.162002,7.2,1
0.0,0.4,0.4,25.787,0.59,1.54,6.515,7.2,1
0.0,0.121999994,0.402,2.356,0.6680003,1.582,5.896998,7.2,1
0.0,0.54199976,1.962,12.101,0.398,4.841998,6.612998,7.2,1
0.0,3.3079998,3.322,2.045,0.87199974,9.608,3.3349998,7.2,1
0.0,0.18200001,0.18200001,4.020998,0.87800026,0.9519997,6.012998,7.2,1
0.0,2.488,2.852,2.861,0.0019999999,0.0,5.644002,7.2,1
0.0,3.01,3.02,84.31,0.0,0.0,5.104,7.2,1
0.0,4.878002,3.2120001,15.915,0.80800027,12.892,3.263,7.2,1
0.0,0.7019997,1.142,3.741,1.088,4.081998,3.3140001,7.2,1
0.0,0.62800026,1.6980001,3.7,0.36200002,1.3280001,5.868002,7.2,1
0.0,3.3379998,16.618,11.01,0.0,0.0,3.294,7.2,1
0.0,0.12799999,0.138,-0.54000026,0.0019999999,0.0,3.0519998,7.2,1
0.0,1.118,1.132,2.5630002,0.0019999999,0.0,5.8770022,7.2,1
0.0,2.508,2.862,1.749,1.112,7.378002,2.6469998,7.2,1
0.0,0.398,0.081999995,0.253,0.0019999999,0.0,3.135,7.2,1
0.0,7.81,2.19,13.178,1.22,16.08,6.017,7.2,1
0.0,2.102,7.7019978,11.097,0.0019999999,0.0,5.283002,7.2,1
0.0,0.54199976,2.002,11.799,0.0,0.0019999999,5.959998,7.2,1
0.0,0.70800024,6.558002,1.741,1.118,1.952,2.457,7.2,1
0.0,1.29,1.3,30.763,0.0,0.0,3.109,7.2,1
0.0,7.62,1.78,5.326,0.0,0.0,2.992,7.2,1
0.0,2.812,10.762,11.1,0.0019999999,0.0,3.949,7.2,1
0.0,1.598,2.898,3.387,0.0019999999,0.0,4.655002,7.2,1
0.0,2.448,2.792,1.729,0.0019999999,0.0,3.0389998,7.2,1
0.0,2.27,2.28,79.386,0.0,0.0,5.544,7.2,1
0.0,7.961998,7.9719977,6.625998,0.0019999999,0.0,3.2189999,7.2,1
0.0,1.598,3.198,0.30200002,0.0019999999,0.0,3.1869998,7.2,1
0.0,0.021999996,1.852,0.301,0.0,0.0019999999,5.051998,7.2,1
0.0,2.738,2.562,4.769998,0.0019999999,0.0,5.478002,7.2,1
0.0,2.2779999,1.112,6.987998,0.0,0.0019999999,3.066,7.2,1
0.0,2.36,0.61,3.596,0.0,0.0,5.993,7.2,1
0.0,1.418,1.4219999,3.1660001,1.222,10.268001,5.928002,7.2,1
0.0,15.75,3.23,20.015,0.81,16.21,6.197,7.2,1
0.0,2.95,2.95,102.763,0.0,0.0,4.408,7.2,1
0.0,1.74,1.74,72.353,0.74,7.7,5.977,7.2,1
0.0,1.96,2.47,37.111,1.13,6.7,3.024,7.2,1
0.0,1.4480001,2.5479999,1.411,0.0019999999,0.0,2.9859998,7.2,1
0.0,0.75199974,2.072,6.787002,1.038,7.061998,3.298,7.2,1
0.0,2.4620001,9.252,7.380002,0.0,0.0,2.9989998,7.2,1
0.0,1.472,6.271998,4.641002,0.0,0.0,3.1569998,7.2,1
0.0,2.408,1.462,13.903,0.0,0.0019999999,5.769998,7.2,1
0.0,2.468,2.7120001,0.61599976,0.0019999999,0.0,5.590002,7.2,1
0.0,1.33,1.34,22.576,0.0,0.0,6.072,7.2,1
0.0,3.1620002,8.542,18.824,0.452,8.468,5.956002,7.2,1
0.0,4.85,1.5,5.334,0.71,3.79,5.443,7.2,1
0.0,4.06,1.18,13.306,0.0,0.0,3.277,7.2,1
0.0,0.202,0.072,1.15,0.428,0.492,5.7419977,7.2,1
0.0,3.01,4.32,116.325,0.77,9.12,3.937,7.2,1
0.0,1.5,1.5,47.342,0.0,0.0,3.257,7.2,1
0.0,1.412,3.9420002,4.360002,0.0,0.0019999999,3.0960002,7.2,1
0.0,15.59,3.3,11.328,0.0,0.0,3.443,7.2,1
0.0,0.7719997,1.962,7.1660023,0.0,0.0019999999,4.979998,7.2,1
0.0,1.298,1.3019999,-0.20899999,0.74199975,3.178,3.3079998,7.2,1
0.0,5.9719977,3.1920002,7.501998,0.492,3.668,2.807,7.2,1
0.0,1.528,1.5419999,3.492,0.0019999999,0.0,4.970002,7.2,1
0.0,2.508,12.822,8.058001,0.0,0.0,3.2089999,7.2,1
0.0,7.71,2.61,5.953,0.52,3.1,2.918,7.2,1
0.0,2.43,0.73,7.619,1.2,9.14,3.135,7.2,1
0.0,0.8419997,1.982,11.877,0.0,0.0019999999,5.998998,7.2,1
0.0,2.4120002,10.3619995,14.49,0.0,0.0,6.011002,7.2,1
0.0,2.112,2.1320002,16.153,0.0,0.0019999999,2.926,7.2,1
0.0,0.9880003,0.99199975,-0.483,0.0019999999,0.0,2.247,7.2,1
0.0,3.13,0.69,2.275,0.0,0.0,3.297,7.2,1
0.0,3.9,4.15,96.485,0.11,1.3,3.04,7.2,1
0.0,0.442,1.712,3.138,1.048,3.302,4.244998,7.2,1
0.0,0.202,0.5219997,2.888,0.74800026,2.1720002,5.559998,7.2,1
0.0,3.5479999,3.552,3.41,0.15200001,2.428,4.553002,7.2,1
0.0,0.87199974,2.562,11.714,0.0,0.0019999999,5.888998,7.2,1
0.0,0.162,0.452,1.368,0.0,0.0019999999,3.1160002,7.2,1
0.0,1.162,5.158002,2.833,0.0,0.0019999999,2.446,7.2,1
0.0,0.88199973,2.2220001,2.816,0.0,0.0019999999,3.204,7.2,1
0.0,2.84,2.98,90.895,0.0,0.0,5.812,7.2,1
0.0,0.068,0.068,0.175,0.0019999999,0.0,6.198002,7.2,1
0.0,0.081999995,0.172,0.5390003,0.0,0.0019999999,3.184,7.2,1
0.0,0.33200002,3.4720001,1.559,0.0,0.0019999999,4.731998,7.2,1
0.0,1.31,1.31,46.704,0.0,0.0,5.882,7.2,1
0.0,0.94199973,1.602,2.722,0.298,0.8219997,1.934,7.2,1
0.0,0.7619997,1.9319999,5.431002,0.87800026,4.781998,2.832,7.2,1
0.0,2.4020002,10.012,12.817,0.52800024,6.788002,5.339002,7.2,1
0.0,2.4120002,1.482,12.901999,1.1880001,15.352,5.354998,7.2,1
0.0,1.1880001,1.202,1.601,0.0019999999,0.0,3.359,7.2,1
0.0,3.05,4.35,127.528,0.0,0.0,5.032,7.2,1
0.0,2.428,0.86199975,2.691,0.8319997,2.228,3.125,7.2,1
0.0,2.232,8.412,6.352002,0.0,0.0,2.847,7.2,1
0.0,1.282,4.811998,3.895,0.0,0.0019999999,3.0470002,7.2,1
0.0,0.272,0.79199976,4.266002,0.0,0.0019999999,5.473998,7.2,1
0.0,3.87,3.95,62.077,0.26,3.05,3.031,7.2,1
0.0,2.85,1.04,6.032,0.44,2.65,5.8,7.2,1
0.0,4.05,1.17,4.211,0.0,0.0,3.599,7.2,1
0.0,4.231998,17.042002,19.244,0.0019999999,0.0,4.5480022,7.2,1
0.0,1.67,1.73,36.663,0.0,0.0,5.688,7.2,1
0.0,0.85199976,1.762,10.457,0.0,0.0019999999,5.978998,7.2,1
0.0,1.632,1.0419999,9.728,1.0680001,10.412,5.968998,7.2,1
0.0,0.86800027,1.022,-0.498,0.472,2.7979999,6.851002,7.2,1
0.0,0.75199974,0.30200002,3.6750002,0.348,1.2919999,4.898998,7.2,1
0.0,4.94,1.1,6.526,0.77,5.03,5.987,7.2,1
0.0,2.6920002,3.1420002,20.244999,0.0,0.0019999999,2.796,7.2,1
0.0,2.15,2.15,83.663,0.0,0.0,4.107,7.2,1
0.0,1.452,0.72199976,4.239998,0.398,1.702,2.9250002,7.2,1
0.0,3.302,7.711998,11.077001,0.342,3.768,3.355,7.2,1
0.0,3.188,3.198,7.460998,0.0019999999,0.0,6.084002,7.2,1
0.0,4.0,1.18,12.904,0.0,0.0,3.226,7.2,1
0.0,1.998,3.0579998,0.5259997,0.5719997,3.478,3.0509999,7.2,1
0.0,0.432,0.18200001,2.535,1.2080001,3.062,5.8929977,7.2,1
0.0,2.5,2.51,126.493,0.0,0.0,5.974,7.2,1
0.0,4.568002,2.3820002,5.546998,1.002,5.538002,3.185,7.2,1
0.0,0.468,0.162,0.489,0.91199976,0.438,3.0419998,7.2,1
0.0,1.4580001,0.50199974,1.477,0.0019999999,0.0,3.008,7.2,1
0.0,8.22,2.46,7.646,0.0,0.0,3.121,7.2,1
0.0,0.7880003,0.30200002,0.86699975,0.86199975,0.7380003,2.981,7.2,1
0.0,19.61,4.55,14.174,0.0,0.0,3.579,7.2,1
0.0,0.43,0.44,8.001,0.0,0.0,3.884,7.2,1
0.0,4.29,0.9,2.917,0.53,1.55,3.241,7.2,1
0.0,2.34,0.55,1.021,0.0,0.0,2.127,7.2,1
0.0,2.448,2.4620001,3.532,0.0019999999,0.0,5.9690022,7.2,1
0.0,1.498,8.548,4.728002,0.0,0.0,3.1550002,7.2,1
0.0,0.222,0.86199975,5.051002,0.64800024,3.282,5.946998,7.2,1
0.0,2.77,0.83,8.05,0.75,6.04,2.906,7.2,1
0.0,2.3579998,1.0519999,7.421998,1.258,9.352,3.1460001,7.2,1
0.0,0.43,0.43,8.3,0.37,0.51,3.221,7.2,1
0.0,1.0619999,3.112,7.897002,1.108,8.772,2.635,7.2,1
0.0,3.508,2.362,5.489998,0.0019999999,0.0,3.386,7.2,1
0.0,1.072,2.982,6.191002,0.248,1.5519999,3.023,7.2,1
0.0,2.81,2.82,96.104,0.0,0.0,5.937,7.2,1
0.0,2.99,2.99,43.914,0.28,4.31,5.148,7.2,1
0.0,3.52,3.76,36.935,0.0,0.0,3.077,7.2,1
0.0,15.5,3.23,17.678,0.32,5.66,5.473,7.2,1
0.0,1.5619999,0.80199975,7.998998,0.0,0.0019999999,5.127998,7.2,1
0.0,1.588,1.592,1.6489999,0.98199975,5.168002,3.313,7.2,1
0.0,3.2,3.2,97.261,0.0,0.0,3.149,7.2,1
0.0,1.582,0.7119997,9.025,0.288,2.622,5.712998,7.2,1
0.0,1.082,2.4020002,6.134002,0.0,0.0019999999,3.01,7.2,1
0.0,4.398002,2.352,2.9450002,0.0019999999,0.0,1.934,7.2,1
0.0,0.92,0.92,33.006,1.18,6.36,5.858,7.2,1
0.0,1.592,0.54199976,5.045998,0.0019999999,0.0019999999,3.174,7.2,1
0.0,4.041998,15.922,17.285,0.262,4.488002,4.277002,7.2,1
0.0,1.352,5.341998,7.364002,1.092,8.032,5.454002,7.2,1
0.0,1.8019999,3.9120002,12.733,0.0,0.0019999999,3.259,7.2,1
0.0,8.28,3.24,10.619,0.0,0.0,3.277,7.2,1
0.0,13.73,2.87,12.308,0.0,0.0,4.349,7.2,1
0.0,1.632,0.6519997,7.7019978,0.398,3.082,4.725998,7.2,1
0.0,2.248,1.572,6.566998,0.492,3.2220001,2.92,7.2,1
0.0,1.218,1.222,1.806,0.0019999999,0.0,3.3009999,7.2,1
0.0,0.202,0.73199975,2.424,0.0,0.0019999999,3.325,7.2,1
0.0,2.0879998,14.782,6.6530023,0.0,0.0,3.182,7.2,1
0.0,0.312,0.68199974,1.867,0.0,0.0019999999,2.7440002,7.2,1
0.0,1.278,0.67199975,3.755,1.248,4.691998,2.934,7.2,1
0.0,2.96,0.81,9.693,0.5,4.85,3.275,7.2,1
0.0,1.162,3.502,20.706999,0.0,0.0019999999,5.935998,7.2,1
0.0,0.55199975,2.352,6.0870023,1.0780001,6.581998,3.2410002,7.2,1
0.0,0.51800025,2.2879999,1.597,0.50199974,0.7980003,3.069,7.2,1
0.0,2.43,1.11,13.701,0.0,0.0,5.638,7.2,1
0.0,3.518,3.012,6.836998,0.0019999999,0.0,5.8900023,7.2,1
0.0,0.63800025,0.6419997,0.50499976,0.0019999999,0.0,3.0809999,7.2,1
0.0,2.07,0.55,11.523,0.15,1.73,5.567,7.2,1
0.0,1.308,1.3119999,-0.382,0.0019999999,0.0,5.466002,7.2,1
0.0,3.3279998,3.918,7.378998,0.0019999999,0.0,5.760002,7.2,1
0.0,0.422,1.088,1.071,0.0019999999,0.0,2.543,7.2,1
0.0,4.09,1.45,8.713,0.7,6.1,6.051,7.2,1
0.0,1.378,1.392,1.2279999,0.72199976,6.138002,6.181002,7.2,1
0.0,2.58,0.7,7.835,0.0,0.0,3.037,7.2,1
0.0,2.63,2.71,33.216,0.0,0.0,2.867,7.2,1
0.0,12.88,2.75,7.729,0.0,0.0,2.996,7.2,1
0.0,0.9780003,0.99199975,1.359,0.33200002,1.028,3.1899998,7.2,1
0.0,0.162,0.392,1.2210001,0.7280003,0.8919997,3.138,7.2,1
0.0,1.602,2.648,8.351,0.0019999999,0.0,5.2190022,7.2,1
0.0,1.5419999,0.5819997,0.421,0.0019999999,0.0,1.1620001,7.2,1
0.0,0.69199973,2.372,13.159,0.0,0.0019999999,5.554998,7.2,1
0.0,1.468,10.602,8.125,0.288,2.3579998,5.5309978,7.2,1
0.0,2.82,0.72,16.399,0.34,5.58,5.815,7.2,1
0.0,0.202,0.68199974,2.2029998,0.7280003,1.612,3.2450001,7.2,1
0.0,3.41,1.03,3.391,0.0,0.0,3.325,7.2,1
0.0,1.678,1.702,0.72899973,0.102,0.50800025,3.04,7.2,1
0.0,4.99,1.71,7.786,0.0,0.0,5.81,7.2,1
0.0,2.91,2.91,42.674,1.02,9.99,3.366,7.2,1
0.0,4.69,1.86,11.317,0.0,0.0,6.084,7.2,1
0.0,0.69199973,2.272,7.446002,0.0,0.0019999999,3.283,7.2,1
0.0,1.918,2.218,2.561,0.0019999999,0.0,3.385,7.2,1
0.0,8.15,1.82,5.158,0.56,2.89,2.866,7.2,1
0.0,1.988,1.992,2.275,1.272,11.078,4.382002,7.2,1
0.0,0.452,1.112,5.6330023,0.0,0.0019999999,5.078998,7.2,1
0.0,0.031999998,0.031999998,0.473,0.44799998,0.041999996,2.835,7.2,1
0.0,2.982,14.3619995,9.572,0.178,1.718,3.2089999,7.2,1
0.0,3.122,11.452,9.648,0.75199974,7.238002,3.0909998,7.2,1
0.0,0.79199976,2.742,11.677,0.81800026,9.582,4.263998,7.2,1
0.0,6.71,1.64,9.139,0.0,0.0,5.573,7.2,1
0.0,0.438,0.442,1.227,0.72199976,1.888,5.978002,7.2,1
0.0,3.1179998,3.1179998,6.374998,0.0019999999,0.0,6.110002,7.2,1
0.0,2.1179998,12.428,6.217002,0.188,1.178,2.931,7.2,1
0.0,0.56800026,1.102,-0.173,0.0019999999,0.0,3.609,7.2,1
0.0,1.468,0.5719997,1.929,0.0019999999,0.0019999999,5.8370023,7.2,1
0.0,1.75,2.28,24.752,0.0,0.0,3.227,7.2,1
0.0,0.83,0.9,13.932,0.42,1.75,5.034,7.2,1
0.0,3.5279999,6.498002,3.917,0.0019999999,0.0,5.143002,7.2,1
0.0,5.71,1.18,2.144,0.0,0.0,1.832,7.2,1
0.0,1.902,7.031998,6.487002,1.002,6.488002,3.4129999,7.2,1
0.0,2.178,2.1920002,2.1660001,0.5919997,7.668002,5.961002,7.2,1
0.0,2.04,2.05,88.303,0.62,7.36,5.82,7.2,1
0.0,0.068,0.288,0.398,1.132,0.44799998,5.655002,7.2,1
0.0,12.38,2.65,14.911,0.68,10.14,5.627,7.2,1
0.0,1.2,1.2,38.199,0.0,0.0,3.183,7.2,1
0.0,0.85199976,4.141998,2.721,0.328,0.9019997,3.206,7.2,1
0.0,8.58,8.58,-0.337,0.19,9.9,6.072,7.2,1
0.0,1.192,2.4220002,13.148,0.0,0.0019999999,5.457998,7.2,1
0.0,1.2804,4.388002,7.538998,0.0019999999,0.0,5.886002,7.2,1
0.0,4.511998,2.3820002,6.694998,0.8219997,5.488002,3.1699998,7.2,1
0.0,0.282,2.628,1.6010001,0.0019999999,0.0019999999,5.726998,7.2,1
0.0,0.89,1.35,21.793,0.0,0.0,2.742,7.2,1
0.0,0.85199976,0.252,5.085998,0.41799998,2.1420002,5.982998,7.2,1
0.0,1.5680001,0.92199975,5.236998,0.44799998,2.362,3.3360002,7.2,1
0.0,2.7879999,2.792,4.889998,0.312,5.228002,6.0480022,7.2,1
0.0,1.092,4.898002,4.657002,0.348,1.632,4.275998,7.2,1
0.0,2.35,2.35,148.585,0.0,0.0,6.939,7.2,1
0.0,0.162,0.162,4.490998,0.6680003,0.352,3.2210002,7.2,1
0.0,2.572,10.222,15.695,0.0,0.0,6.106002,7.2,1
0.0,0.75199974,0.312,3.996,0.0,0.0019999999,5.3269978,7.2,1
0.0,0.9780003,0.222,0.6789997,0.0019999999,0.0,3.222,7.2,1
0.0,1.298,1.3119999,-0.454,0.0019999999,0.0,3.495,7.2,1
0.0,4.218002,3.6320002,2.6950002,0.0019999999,0.0,2.99,7.2,1
0.0,0.402,0.15200001,2.3760002,0.52800024,1.262,5.936998,7.2,1
0.0,0.91199976,0.432,5.1299977,0.0,0.0019999999,5.636998,7.2,1
0.0,4.66,1.08,3.423,0.0,0.0,3.169,7.2,1
0.0,0.432,4.218002,2.507,0.0,0.0019999999,5.836998,7.2,1
0.0,1.962,6.921998,6.147002,0.0,0.0,3.135,7.2,1
0.0,2.072,7.631998,6.457002,1.1819999,7.618002,3.1179998,7.2,1
0.0,2.082,7.841998,6.881002,0.6519997,4.468002,3.307,7.2,1
0.0,0.8219997,2.228,3.9069998,1.242,4.851998,4.768998,7.2,1
