p,q,anomaly
2.5039783,0.3277706,1
-2.346065,0.52625847,1
-3.1615515,0.1914776,1
-0.6526666,0.25489148,1
-1.1024333,1.222955,1
0.1801385,0.70400566,1
0.4791534,0.21382514,1
1.9498564,0.4049825,1
-2.0673895,1.200933,1
-0.0014849007,0.41958416,1
-0.31607294,0.8184381,1
0.26473933,0.58726,1
3.2223754,0.92617375,1
1.8450493,0.36985394,1
0.4293818,0.33725578,1
-0.98948586,0.30404687,1
2.4178333,0.889943,1
0.46011358,0.3359556,1
0.8629384,-0.35337842,1
-0.16895738,0.646625,1
2.4990215,0.31780764,1
1.7493092,0.64976776,1
5.0465593,0.38331324,1
1.0525688,1.0078114,1
0.27345717,0.4944731,1
0.17621544,0.6296469,1
3.0615082,1.1094306,1
-2.5069513,0.53394413,1
-0.8701662,0.22941285,1
0.92149264,1.4696245,1
5.0786433,0.5810218,1
-1.7131294,0.7556361,1
2.640246,1.1196085,1
2.9948826,0.40420055,1
0.50256884,0.23594987,1
-2.2245688,0.22529754,1
0.46886626,1.0756079,1
1.8201944,0.450902,1
0.45335257,1.9411699,1
2.838027,0.39666268,1
1.5770197,1.254705,1
-4.362398,1.416183,1
0.33460072,0.45601514,1
0.13917705,0.2625087,1
2.1784444,1.1895934,1
1.5028409,1.4470406,1
0.52209586,0.45786822,1
-0.80354047,0.7750533,1
-3.4230711,-0.75668454,1
2.543273,1.0237836,1
0.337706,0.41977125,1
-0.5835417,0.31531632,1
4.9767528,0.598959,1
-0.9155985,0.28107995,1
1.6732007,0.29985923,1
-2.7298555,-0.40794575,1
2.9889355,1.153702,1
0.35626295,0.26507407,1
-1.8508509,0.020501435,1
5.0608234,-0.548724,1
1.911424,0.6279845,1
0.0921264,0.33611068,1
-0.2848819,0.21920541,1
0.5054109,1.184651,1
-1.3039994,0.15622129,1
2.8684254,0.38159952,1
-4.976216,0.30915213,1
0.279756,0.9112897,1
1.9025905,0.27269262,1
-0.37625384,0.24199225,1
-0.26231056,0.21345457,1
-2.8393807,1.4396036,1
2.362207,1.0199555,1
0.3906893,0.4833613,1
0.52094185,0.3484463,1
-1.4988248,0.3897479,1
-0.91156214,-0.9998497,1
0.7388646,0.25894296,1
-4.7179384,0.46974298,1
0.39127845,0.38775828,1
-2.083555,-1.0160999,1
2.7562518,0.5138256,1
-2.3615615,-0.24022935,1
3.449215,1.2981799,1
-1.2989445,-0.09227261,1
-1.0032681,0.26613387,1
1.0950692,-0.3426785,1
0.022219062,0.3543013,1
-0.2931218,0.3155833,1
0.42810705,0.43017918,1
-2.0679998,0.9538723,1
-2.0203848,0.8454657,1
-3.4240508,0.50816154,1
1.3314606,-0.66437155,1
0.9204678,1.0227844,1
1.6385287,0.46212757,1
-1.0821602,1.718415,1
-0.8315065,0.05625713,1
-2.1300817,0.19872476,1
0.27153456,0.33046865,1
1.7812957,0.28293446,1
0.6227324,0.61792153,1
3.3537164,1.2726262,1
-0.75217056,1.3423873,1
-1.1039469,2.012747,1
0.86709464,1.3332938,1
2.334158,0.9427649,1
-1.253765,1.3597697,1
0.000767082,-0.47157812,1
1.8686149,0.66421664,1
-2.1289408,-0.3152821,1
1.8199348,0.2909423,1
2.5739927,0.25167975,1
0.4848963,0.20732692,1
-2.2710414,0.17703208,1
2.7799306,0.31466576,1
1.8274941,0.28453633,1
0.61596096,1.2506943,1
0.61059344,0.630294,1
-1.6448022,0.20050159,1
3.6366806,-0.109354615,1
-2.1340082,-0.2958866,1
-1.1953441,-1.0746052,1
2.124168,1.0354937,1
0.40105724,-0.69427145,1
0.8029352,0.7423047,1
1.0130768,0.57267874,1
1.3090243,0.9769771,1
0.65959823,0.6997709,1
-1.1062721,0.14288855,1
-0.57235414,0.44129378,1
4.2864904,-0.96212184,1
-0.24393415,0.80947363,1
2.3902159,0.7344521,1
0.4337213,0.6616108,1
2.4521508,0.12975913,1
1.5577241,1.1542598,1
-1.510672,0.22370112,1
0.60013664,0.89441675,1
0.3731764,0.90046984,1
-1.8819851,0.39731747,1
-2.7503,1.2070923,1
1.4546111,1.2344357,1
-0.73518753,-1.6678355,1
0.6679598,0.65008175,1
-5.3527527,-0.55784637,1
-1.9919536,-1.1379905,1
0.18865007,2.3117957,1
1.5052643,0.28017277,1
-0.39892823,0.90460306,1
-1.9106278,-0.81779677,1
2.0720396,0.33022255,1
2.9317422,-0.34390885,1
0.49092543,2.0671844,1
2.8007169,0.7518318,1
0.5983968,0.7997692,1
0.8652986,0.79995835,1
-1.9780637,1.0835751,1
2.7968235,1.0648984,1
-3.3943038,1.1854255,1
0.5162157,0.34380394,1
2.6743941,1.1504359,1
-0.47981024,0.25681335,1
-2.8400822,1.1187356,1
3.7507377,0.40946588,1
2.2124205,0.43724275,1
-1.8830584,0.9451628,1
1.7245467,0.49642742,1
-2.554317,0.8370695,1
3.2603612,0.22971794,1
-0.28129846,-0.4229547,1
-5.02842,0.6618574,1
0.42362624,0.45471305,1
-1.9767619,1.2289028,1
1.9655485,1.6188239,1
3.3066902,-0.2958507,1
-0.61423445,0.27749693,1
-1.1367471,-0.2617421,1
0.48692286,0.53190583,1
5.268796,0.38576216,1
1.0573069,0.93831825,1
1.5697331,0.3699657,1
0.32398227,2.3584466,1
1.3470306,0.29271162,1
1.6001953,-0.13595504,1
-0.3299842,0.51348376,1
3.5834503,0.6054113,1
0.6370747,0.30017272,1
-0.9092846,0.23685017,1
2.7980804,0.26933175,1
3.42979,-0.3278005,1
1.2989631,-0.6888382,1
2.8815217,1.2700624,1
2.5843582,-0.4577853,1
2.0042295,0.3762699,1
-1.5716144,-0.54335093,1
0.16094115,1.3144093,1
1.2312808,0.2520883,1
0.462917,-0.7588958,1
2.5968652,0.9793589,1
4.6780367,0.80904216,1
1.7871654,0.19372672,1
-0.4472605,-0.7455036,1
2.7089138,0.29088658,1
-0.02776429,0.264471,1
0.57917726,0.27111456,1
0.43593246,1.2140505,1
2.7647567,0.35456052,1
-0.6841281,-0.25716174,1
1.8676816,0.5373178,1
2.5094218,0.96792185,1
-1.4479945,0.6311892,1
-0.6479525,0.7218728,1
3.00848,0.26270598,1
0.4112044,1.3836545,1
0.59079325,0.39925173,1
-1.0761607,0.18745753,1
-0.74077666,-0.3741771,1
3.4301043,1.2890898,1
1.9211599,0.48652405,1
2.150207,0.86869246,1
2.3212845,1.3521856,1
0.40224814,-0.95003736,1
-1.7272111,0.4953797,1
-1.1851761,0.4595346,1
1.3197522,1.2258177,1
2.230154,-0.26390874,1
-1.0034215,0.2549494,1
-0.80353093,1.2164012,1
0.56055707,0.8371116,1
3.3154163,0.46846014,1
1.8835835,1.3918146,1
3.2607274,0.23127303,1
-1.342115,-0.54054385,1
1.2691183,0.37110674,1
1.6436869,1.196705,1
1.8083632,-0.59663147,1
1.6330462,2.2705088,1
-2.3656502,-1.3565841,1
-1.4314224,0.8845026,1
-2.833264,-0.18544053,1
-0.5373547,0.26700324,1
0.13030493,0.39356527,1
2.9927297,-0.2239126,1
3.299057,0.19778155,1
2.5488567,0.9728378,1
2.5160818,0.31467825,1
-1.35691,0.2296403,1
2.7922328,0.35639128,1
0.35528332,0.3239485,1
-1.6582141,-1.2763975,1
2.8739886,0.6073734,1
-0.84828675,0.7643758,1
1.3562844,1.1500745,1
-0.8242727,-0.2131013,1
2.6925845,0.7548714,1
2.311716,0.39494488,1
0.6189732,0.6726005,1
3.0979023,0.397517,1
3.819355,-0.35941875,1
-2.309515,1.5626934,1
-2.584646,-0.20875901,1
2.1428442,0.9170517,1
2.4042392,0.6108851,1
1.9181565,0.30602685,1
1.2911441,1.1062105,1
3.3356495,0.32406938,1
2.9995933,0.08644608,1
2.2918477,0.31381246,1
2.7052245,0.41636023,1
1.0839189,0.5599601,1
0.28200173,0.39874798,1
4.9318914,0.6241051,1
0.59960103,0.41916248,1
1.8609977,0.33670968,1
0.7806244,0.63814473,1
1.9973474,0.47089064,1
3.9519482,1.552885,1
4.008422,0.35710117,1
-2.8000798,0.014496032,1
1.7147851,0.20603046,1
0.36025947,0.31276745,1
0.35845703,0.79432416,1
2.9378796,1.0025891,1
-0.9429337,0.23012213,1
2.5517745,0.59259784,1
0.7032996,0.82539994,1
-0.7031438,-0.36353633,1
0.7572946,0.8992495,1
-4.7058396,0.3592722,1
2.7177222,-0.16989124,1
2.116439,0.44902703,1
1.6900728,-0.7896551,1
0.68645096,0.491323,1
0.5573654,-0.55439854,1
-0.15217242,0.2439045,1
-7.516927,0.45502028,1
-1.9810444,1.2460876,1
1.307694,1.4053483,1
3.96494,0.4500668,1
3.5135572,0.52355003,1
4.6906877,0.41128987,1
-1.6582254,0.17141135,1
2.2940345,0.38924682,1
4.559627,0.10079977,1
1.954916,0.37890628,1
-1.6419595,-0.8505546,1
0.3479489,0.7972373,1
3.2121882,0.90879035,1
1.8827223,0.15697,1
3.2821808,-0.4591967,1
-4.4807496,0.14782913,1
-4.103937,0.10409369,1
-1.0559042,1.316555,1
1.6051204,-0.08405131,1
0.6022368,0.39265597,1
0.2829818,0.744567,1
1.5888625,0.569131,1
-0.029801592,-0.4833883,1
-0.27858332,-0.9843402,1
-0.69258946,0.89616835,1
-0.19536912,0.33150032,1
3.639875,0.4050659,1
0.34114462,0.36399564,1
-3.9397116,2.4420009,1
2.6579266,1.1953574,1
4.1767235,0.31287283,1
3.3208413,0.37028092,1
4.968774,0.5099796,1
1.8792654,0.09307414,1
-3.3854856,-0.4466538,1
-0.3517154,0.06868504,1
1.8818607,0.92708445,1
2.2155743,0.8605282,1
0.5666897,0.42892376,1
-1.3298372,-0.10589613,1
3.2690587,0.5024675,1
-0.042053014,-0.34712088,1
0.4256278,0.40481067,1
2.4357862,0.44768643,1
0.11672279,0.34963697,1
-0.8021291,-1.1622434,1
3.752121,0.37345675,1
0.39548647,1.1351303,1
-1.8170395,1.0959953,1
3.475409,0.38402495,1
0.1854811,0.32350472,1
-0.53324974,1.3302914,1
-2.156178,0.51717806,1
-1.1521547,0.26366794,1
1.864695,1.1669227,1
-0.86541337,-0.09375332,1
0.52663815,0.45530355,1
2.8247252,1.1530843,1
2.665545,1.211074,1
-0.52665603,0.425052,1
0.67114633,0.7394388,1
3.177906,0.8484889,1
2.291524,0.4320296,1
-3.5886474,0.5069343,1
-1.1360931,1.6690452,1
-0.43768984,1.2223169,1
0.1490247,1.5865692,1
0.44218877,0.9761659,1
2.9953275,0.3722301,1
0.07062444,0.25204062,1
2.4068894,0.24710727,1
1.693488,-0.17712814,1
3.054223,0.64589167,1
5.292193,0.7587811,1
1.9806422,0.7290109,1
-1.9630057,0.28559622,1
1.6957749,0.5580294,1
0.62174034,0.43667936,1
-0.880103,0.34287688,1
0.28836668,1.191131,1
-2.241891,1.6973375,1
-1.0763215,0.43601504,1
0.67539096,0.7675326,1
1.1990377,0.9637121,1
5.030238,0.9369686,1
0.39779449,-0.7937223,1
1.9204352,0.24761114,1
0.6431555,0.40228346,1
-1.4673859,-0.100575775,1
3.5936904,0.3734666,1
0.24601474,1.034026,1
0.03506896,1.3495047,1
3.2011476,0.48631644,1
1.5243224,1.1019796,1
0.78077716,0.7082513,1
-1.5406358,0.51575005,1
1.1870184,0.93159306,1
-3.9346719,1.480494,1
1.8815513,0.3005382,1
2.2132735,2.1614723,1
0.9995576,0.8841104,1
1.7538413,0.7544378,1
1.4644055,0.40698242,1
1.1901103,0.4434339,1
3.815844,1.6112039,1
-4.1178036,-0.58181185,1
3.8722267,-0.2740128,1
1.5654929,0.5516056,1
1.970921,1.6163626,1
2.688982,0.88074636,1
2.0211287,0.928418,1
1.7653215,0.24545628,1
1.5603724,0.16520718,1
-0.9169314,-0.15943447,1
2.7391524,0.5581666,1
0.43958598,0.36896026,1
2.6870475,0.73933506,1
0.28754786,0.33442304,1
-4.71457,0.049805705,1
-0.47264278,0.26878276,1
1.8249671,0.32787845,1
-1.1993662,1.9779731,1
-2.9466286,0.4822302,1
0.76654744,0.6670085,1
2.4913812,0.9647862,1
-1.0630841,0.15089254,1
0.8021408,0.54022324,1
0.6454648,0.77170914,1
-1.5865552,-0.45960236,1
0.48740423,1.4083917,1
-0.08238363,0.2674614,1
0.2589627,0.15493661,1
-0.7656003,0.20279396,1
3.4768653,0.42838156,1
-0.65538245,0.659966,1
2.2910028,1.285327,1
0.76367,-0.47862458,1
-2.6802204,-0.77245635,1
3.87294,0.59094894,1
3.6497588,0.28227693,1
0.5051283,1.0182137,1
0.60986435,0.75901103,1
5.242497,-0.4237169,1
-0.7206142,1.3066092,1
-1.2890368,0.4217826,1
3.9434185,0.56514704,1
4.0562954,1.6470344,1
1.8304827,0.97762954,1
0.6525404,-0.651832,1
-1.4324192,0.28951943,1
1.862661,-0.58640546,1
-0.12246597,0.5402581,1
0.67990834,-0.88250405,1
4.288763,0.5273058,1
1.8200057,0.29678592,1
-1.9893471,0.9479834,1
-0.40960962,0.4671715,1
1.7267649,0.5034381,1
0.2515278,1.0358,1
-2.3342228,0.73770887,1
3.4055352,0.39563966,1
0.3377782,0.5901941,1
0.36054453,0.40814584,1
1.2364986,0.99551785,1
-1.6562518,0.47892517,1
-1.9166815,0.8629037,1
2.5847821,-0.085428834,1
0.28947473,1.2659557,1
0.35865316,0.34771207,1
3.7860036,0.39202815,1
-3.2076833,0.06662883,1
-0.6876781,-0.4796999,1
3.9113564,0.40326518,1
0.73694354,0.7783516,1
0.9046897,1.0246422,1
2.76438,0.54500854,1
3.4997773,1.2460177,1
-2.0005555,2.0289607,1
2.2907279,0.9681519,1
0.7699165,0.87998545,1
2.1727476,0.61878204,1
-2.208829,0.2735283,1
2.67765,0.9905256,1
4.4237533,0.42467445,1
1.3464512,0.49141502,1
4.105483,1.2594289,1
0.63467133,1.5090823,1
-2.6949759,0.89413524,1
3.684423,0.33983573,1
2.7554297,1.2209336,1
1.6062628,-0.769585,1
1.1179502,-1.2254847,1
0.22992834,0.13069366,1
2.611903,0.14259502,1
-1.0586232,0.36946505,1
0.6405238,0.5556123,1
1.1155733,0.8873496,1
3.2510924,0.91727,1
1.7248056,2.1507392,1
3.515079,0.28113598,1
0.72592765,0.10254359,1
-0.59260935,-0.61139935,1
3.5994382,0.347718,1
4.896859,1.7241756,1
0.564718,1.323046,1
2.0857124,0.0741649,1
3.5863237,0.069188625,1
0.30429938,0.33256188,1
2.7358055,-0.06956929,1
-1.031364,0.45754236,1
3.4295802,0.4458863,1
1.8905821,-0.41685772,1
-1.642116,0.36027434,1
0.5587472,0.23047516,1
0.40058857,0.2519797,1
1.5600255,-0.5341253,1
2.3112893,-0.19319493,1
1.8799742,2.17616,1
2.4044852,0.33656496,1
3.1100864,0.13843766,1
2.3372498,1.0305736,1
2.6105952,1.1311014,1
0.6304636,1.6106582,1
-1.0839752,0.75530624,1
-1.2017479,1.46525,1
0.71217287,-0.4402488,1
1.4583263,0.41509712,1
3.2770402,0.019761086,1
1.8144093,0.6591004,1
2.818901,0.3159999,1
-0.3836208,0.6255527,1
0.4976955,0.30230612,1
0.8090948,1.4559947,1
4.6438465,0.023961604,1
-1.9740521,0.80345136,1
0.3700787,0.46609163,1
0.3431706,0.43580198,1
-3.2578788,-0.74536884,1
2.4336252,1.4984072,1
1.206764,2.3301597,1
4.3982487,1.5445406,1
1.99394,-0.3638758,1
-0.47679466,0.28153044,1
-1.0951259,0.34061137,1
0.35115102,0.72483265,1
3.204245,0.36366928,1
-0.3230477,0.22210842,1
0.63112193,0.28803986,1
-0.70297754,0.18586975,1
3.0072713,0.62297845,1
1.794537,-0.009116679,1
-0.79817975,0.2511688,1
0.30451918,0.3766697,1
4.247743,-0.5481225,1
1.0173542,0.3562582,1
-0.49706972,0.34608623,1
3.6133041,0.3241939,1
-0.24412316,0.6363333,1
0.5117466,1.5443403,1
3.0280538,0.6085349,1
2.5835562,1.0554065,1
-0.6842163,1.0671874,1
1.6000994,0.32575494,1
0.38683283,0.24610059,1
0.6122068,0.29761058,1
4.809903,-0.7070996,1
4.289599,0.1197103,1
0.51378375,0.7000523,1
0.32032898,0.5771067,1
3.8631015,0.49089563,1
1.8597385,0.49223727,1
5.466429,1.8325157,1
3.8430915,0.3746255,1
2.4641323,-0.67307407,1
0.5837238,-0.5940034,1
0.41185647,0.36041927,1
-2.7864108,1.4428513,1
0.35515255,0.34722278,1
4.2716694,1.1187885,1
2.6104584,1.2387378,1
-1.7290977,1.1818283,1
-0.5410398,0.22863626,1
-1.6834527,2.218246,1
1.5206707,0.40203673,1
-5.344615,0.8791769,1
0.5026962,0.24131554,1
4.3235617,0.0042126775,1
-1.7138579,2.1142483,1
5.720558,0.47317943,1
0.6956476,0.32853222,1
3.7684507,0.09884605,1
-0.8177142,-0.55161655,1
1.2154192,0.9292693,1
1.004702,1.3515424,1
-3.0691614,0.24798079,1
0.524771,0.13338792,1
0.28761926,1.2278787,1
1.9551798,2.0860357,1
2.7859306,0.82290095,1
0.36852145,0.40422207,1
-1.9149163,0.7916793,1
-1.8354387,0.26730138,1
-1.741389,0.34473768,1
0.36909482,1.409038,1
0.69937414,0.36277905,1
-0.19137618,0.10262789,1
-4.2276444,-0.80303496,1
0.39976954,1.047937,1
-1.5298707,1.3804685,1
1.2368163,-0.4025964,1
2.1443648,0.8776359,1
2.8955903,0.2585192,1
0.65794337,-0.28428668,1
0.6963698,0.36272812,1
0.83466214,0.8344216,1
2.6678872,1.2429664,1
0.39835846,0.3470012,1
-1.5135037,0.48755014,1
1.5813913,0.3717322,1
-0.7765137,1.4469211,1
-0.6151093,0.18267012,1
2.892695,0.40216434,1
-1.4621466,-0.194518,1
-0.39875638,0.5350201,1
2.7253723,0.47854128,1
2.5871606,0.6001825,1
3.9626021,-0.18740767,1
0.20486787,2.2848787,1
2.6136794,0.32342213,1
2.5631957,0.27462977,1
-1.308534,0.67135453,1
-2.0780177,0.6357095,1
0.38848507,-0.09621519,1
-0.044387788,-0.4068752,1
2.6452088,1.1047195,1
2.1302233,0.63467073,1
-2.6626554,0.45899105,1
-1.0164299,0.33516857,1
4.269711,0.09452218,1
2.2211552,0.42268455,1
3.6972342,-0.007325232,1
-2.138246,0.67702895,1
0.5194352,-0.260898,1
-0.5508297,0.25792748,1
-3.799344,-0.13787785,1
-1.3622524,-0.053746358,1
0.347798,0.3623303,1
0.647752,0.8246581,1
3.7740083,0.26843706,1
-2.1197534,1.2465329,1
-3.0410461,-0.3233824,1
0.4367859,0.43044996,1
2.5833907,1.0151939,1
0.3803715,0.61205363,1
1.4383684,0.2441222,1
2.387897,1.4708146,1
-1.8543186,0.5001261,1
-0.7872803,0.75337243,1
2.1829948,0.2734091,1
0.33160436,1.4788805,1
0.38774434,0.32613963,1
-0.66035324,0.22217628,1
3.0023437,1.014292,1
2.9863667,0.077986956,1
2.7425914,0.10344255,1
-2.4379745,-0.2140593,1
2.397938,1.5560749,1
-0.3085227,0.2185408,1
-1.2864386,-0.41931498,1
3.4131546,0.20291606,1
1.3192408,1.0630342,1
0.8644991,0.69338673,1
2.2801409,1.0132257,1
2.4861279,0.38245076,1
2.2946777,0.23470896,1
-1.8015975,-0.90257263,1
-1.8449173,-0.54972243,1
0.17783406,0.30872867,1
1.3561212,0.79958653,1
2.9371233,0.250906,1
0.30094033,0.2786573,1
0.2859614,0.26583046,1
-1.4134542,0.86861384,1
2.879578,0.7759197,1
-0.77351654,0.503862,1
0.87300104,0.99390066,1
3.0949392,0.7030172,1
2.3416648,1.4014976,1
4.0263243,-0.029242039,1
-3.0174456,0.4584821,1
0.77226293,2.1622381,1
2.3941364,1.5259423,1
-2.2025657,0.23247305,1
-5.613836,0.5208838,1
2.0857587,0.84791696,1
-3.531576,0.076539814,1
-2.1632574,-0.30489114,1
-2.0168333,-0.6203053,1
-2.7339792,0.17206782,1
1.1385461,0.8523694,1
0.4495095,0.33881617,1
0.4088,0.5076293,1
0.71752715,0.49441493,1
1.4446805,0.41191453,1
1.5387751,0.53753865,1
1.8261898,-0.011339843,1
-1.1781483,-0.102722034,1
3.5668783,-0.39418882,1
-3.4502594,-0.19138777,1
0.44952092,0.47128773,1
0.35013843,0.23674536,1
0.10965276,0.4893739,1
-3.0406132,0.1944693,1
-0.49165887,0.23735735,1
-0.46962523,0.5562555,1
0.45607468,0.3757339,1
-1.3388342,0.74069124,1
3.258047,0.45358253,1
0.37952155,0.35310408,1
0.6280023,2.243672,1
0.5283219,-0.23130786,1
-1.5521017,2.1731853,1
-4.7381177,0.37982872,1
2.2001343,0.8310224,1
2.847465,1.1404816,1
-0.7364159,-0.8541822,1
-0.63710386,0.2866573,1
0.42588264,-0.0602082,1
1.1583602,-0.854636,1
2.4072046,0.919654,1
6.9822664,0.9542482,1
1.2270868,0.5150341,1
-1.0041234,-0.32210237,1
-1.4281863,0.110936835,1
5.179029,0.13374987,1
-5.074668,0.89757997,1
0.7707103,0.17012781,1
2.483767,1.0125077,1
3.215223,0.8250029,1
0.116624594,1.3220953,1
0.06868854,0.042383313,1
1.7186658,2.2598176,1
1.9907366,2.4301696,1
0.6092068,0.8801733,1
-0.33481562,0.21802366,1
-1.1659839,0.19421752,1
1.7251558,0.2507198,1
0.5377854,-0.18543953,1
0.15334886,1.5925062,1
1.5892175,0.04928103,1
1.2864364,0.20355898,1
2.6376457,0.14596888,1
1.8470341,0.24263728,1
-0.34799492,0.18111837,1
-4.588231,-0.19851272,1
3.5460057,0.3392409,1
0.28772238,0.34062427,1
-0.8077905,0.3420074,1
-0.20787176,-0.3323615,1
-0.58801717,-0.1588498,1
1.5575879,1.1536175,1
1.521012,1.390713,1
1.9462183,0.6092117,1
1.6200677,0.33397615,1
3.79276,0.39207006,1
0.6902356,0.8702197,1
1.3182219,2.6981626,1
5.205516,0.3983476,1
-3.0771525,-0.12169521,1
3.1442814,0.04117295,1
0.020126015,0.39208657,1
-4.4159884,0.11708989,1
2.5257025,-0.13405806,1
-1.8988764,2.1106777,1
-1.967569,0.9014881,1
5.1137714,0.16550085,1
2.7591743,-1.0047863,1
2.7470093,0.40860707,1
4.9746876,0.32534242,1
2.327621,1.2066548,1
0.47049272,0.30293232,1
0.6134321,-0.40194827,1
2.1341352,-0.5882286,1
3.8218908,0.23380165,1
3.7010078,0.89646584,1
-0.033587456,0.60630286,1
0.67108506,0.406228,1
2.2076707,0.37787542,1
2.047358,0.19816789,1
2.556713,0.45836437,1
0.402435,0.8249898,1
-3.4015937,0.045034546,1
-4.151661,0.600139,1
1.685941,0.49131906,1
-2.7742906,0.2454361,1
-1.0273571,-0.077705145,1
0.38406125,-0.3604322,1
0.5576347,0.078467846,1
-3.2585661,-0.5304722,1
2.0219312,0.3668772,1
1.5649173,0.5607009,1
2.3456852,1.012001,1
1.2427719,2.2756617,1
-1.7654716,-0.43148893,1
0.45470667,0.4912015,1
1.6896113,1.1076429,1
-0.042170197,0.6010154,1
4.9588547,0.35583088,1
5.784439,-0.020599544,1
0.46906734,0.19862422,1
-0.8165175,0.7240068,1
2.2623525,-0.825886,1
-1.5696305,1.1355497,1
3.6935492,0.12456262,1
1.8187087,0.32808593,1
-0.786342,0.4863264,1
-1.8580601,-0.9115265,1
-2.89988,0.4661827,1
0.17632005,0.4920348,1
-3.1022048,-0.31041902,1
0.1011678,-0.90047,1
-1.1312647,0.29159087,1
-1.7088923,-1.0456716,1
4.1837068,0.48012245,1
4.995609,1.5371019,1
0.59112227,0.3649569,1
1.7710257,-0.9950681,1
0.40942162,0.30942217,1
1.4455307,0.27280885,1
-1.104146,-0.8052384,1
3.495463,-0.6538184,1
-2.0725942,1.5781333,1
2.9065027,1.1651455,1
3.1205397,0.3829065,1
0.52581084,0.89486885,1
-1.3500581,-0.06858301,1
-2.9217632,-0.112276256,1
1.3497987,1.0791224,1
-2.8907967,0.43569115,1
3.1886077,-0.40676677,1
-0.8809192,-0.07579024,1
1.8103461,0.23222327,1
3.1362042,0.3716196,1
-0.83569264,0.8232033,1
-2.2021203,-1.2565194,1
-3.5471563,0.47362298,1
1.8230554,0.11617124,1
1.7755394,2.071712,1
-5.6866813,-0.41117123,1
2.2365184,-0.5346574,1
2.4232464,0.31130844,1
1.6514235,0.97918165,1
-2.7338204,0.2520665,1
0.92875195,0.26623312,1
-1.6535152,0.7812856,1
1.463131,1.010308,1
-0.05994737,0.7617747,1
0.47454157,1.3048273,1
3.7814631,-0.5772827,1
2.0176048,-0.56965584,1
2.5700479,0.30585623,1
2.0065997,0.27434504,1
0.42506057,0.8502326,1
0.72025216,1.080573,1
0.5149364,1.1742871,1
0.71637255,0.73711073,1
-1.6355339,1.4740884,1
0.42409307,-0.54496324,1
0.4223288,1.0195131,1
0.54249746,0.545563,1
0.012591511,0.57883185,1
-0.008661747,1.4823776,1
-1.3394244,1.3713839,1
-0.90566826,1.0348611,1
3.8129058,0.40159667,1
-1.6379225,0.56307644,1
-2.3223486,-0.60813135,1
-2.8816705,1.4944379,1
0.27888304,1.3339067,1
2.6705108,0.4421819,1
2.3634694,0.60518324,1
1.3179874,0.62206495,1
-0.8369473,0.20042752,1
-0.8367225,0.18292071,1
-1.0259233,2.0123622,1
0.60505855,0.7224063,1
2.8317494,1.1438642,1
-1.4475127,0.62044406,1
-2.188386,-0.24791953,1
0.46401894,0.48058426,1
4.314876,0.4629032,1
1.0275937,1.1056066,1
4.4409204,-0.036453545,1
0.58466184,0.3515869,1
2.3280196,0.4505247,1
0.4479253,-0.024030924,1
5.1997185,0.3589996,1
1.9540856,-0.37008888,1
-2.0831919,0.5528414,1
4.249909,0.1711798,1
0.613178,0.69610834,1
1.7567939,0.29518545,1
-3.341677,-0.59651476,1
2.1483598,0.32337922,1
0.13712603,0.37572393,1
-1.3920498,0.24731904,1
-3.9033394,1.2360135,1
2.1967297,0.78379625,1
0.57062876,0.8746333,1
3.7702103,0.26809868,1
1.9533035,0.7647768,1
2.5094604,0.96146894,1
-1.3745172,0.5097272,1
0.32534274,0.58116525,1
-4.1514854,0.5326706,1
-2.4175384,-0.19142826,1
0.63872427,0.44124407,1
2.644868,1.1302403,1
2.009048,-0.43873185,1
