p,q,anomaly
2.3059764,0.02777057,1
-2.4990654,0.4752585,1
-3.3655517,0.2934776,1
-0.9076666,-0.00010850633,1
-1.3064333,1.222955,1
-0.11986151,0.4940054,1
0.51515317,0.015825128,1
1.6498567,0.2069825,1
-2.3223898,1.047933,1
-0.19948491,0.41358402,1
-0.77507293,0.7674381,1
-0.035260662,0.25726005,1
3.0123765,0.5121735,1
1.7490495,0.17185393,1
0.32138178,0.33725578,1
-1.2444859,0.35504687,1
1.9858333,0.7939433,1
0.2621136,0.2699556,1
0.6589384,-0.5573784,1
-0.47495738,0.748625,1
1.9830219,0.20980766,1
1.4433092,0.37976772,1
5.34656,0.083313234,1
0.9145691,0.79781115,1
-0.02654284,0.24847308,1
-0.12378457,0.55164695,1
2.9535096,1.1154308,1
-2.812952,0.7379441,1
-1.0741662,0.025412861,1
1.0294929,1.0556242,1
4.898642,1.301022,1
-1.8151294,0.6536361,1
2.5322468,1.0116082,1
2.898881,0.10420054,1
0.21456888,0.2779499,1
-2.4795692,0.17429754,1
0.27086625,1.0696076,1
1.5201946,0.252902,1
0.15335259,1.3231696,1
2.514026,0.30066267,1
0.9830196,1.1467047,1
-4.5663986,1.620183,1
0.2386007,0.31801513,1
-0.16082296,0.5925088,1
1.8784446,0.97959316,1
1.0528408,1.2370403,1
0.22209586,0.24786821,1
-1.1095405,0.7750533,1
-3.4230711,-0.75668454,1
2.3392725,0.9637836,1
0.199706,0.32377127,1
-0.7365417,0.26431632,1
4.7667537,0.49095878,1
-1.1195985,0.28107995,1
1.4032005,0.37785923,1
-2.7298555,-0.40794575,1
2.9829369,1.0937021,1
0.15826295,0.26507407,1
-1.9528509,-0.08149856,1
4.856823,-0.752724,1
1.3954238,0.38198453,1
-0.15687361,0.20111069,1
-0.6928819,0.015205415,1
0.40941086,0.97465074,1
-1.5589994,-0.09877871,1
2.6584263,0.27959952,1
-4.976216,0.30915213,1
-0.020244,0.7012894,1
2.0105906,0.17669263,1
-0.68225384,-0.064007744,1
-0.56831056,0.009454569,1
-3.043381,1.3376036,1
2.032207,0.8219558,1
0.19268931,0.3753612,1
0.23294184,0.14444631,1
-1.8048248,0.2877479,1
-0.91156214,-0.9998497,1
0.5528645,-0.04105705,1
-4.7179384,0.46974298,1
0.091278434,0.29175827,1
-2.083555,-1.0160999,1
2.4442525,0.2498256,1
-2.3615615,-0.24022935,1
3.2392159,1.1721797,1
-1.4009445,-0.19427261,1
-1.4112681,-0.039866112,1
0.7380692,-0.6996785,1
-0.22678095,0.2853013,1
-0.5991218,0.111583285,1
0.23010704,0.32217917,1
-2.3740003,1.0558723,1
-2.122385,0.8454657,1
-3.4240508,0.50816154,1
1.1784606,-0.81737155,1
0.7224681,0.8127841,1
1.1225284,0.33612755,1
-1.2351602,1.565415,1
-1.0355065,-0.14774287,1
-2.283082,0.045724764,1
-0.028465433,0.22846869,1
1.6852959,0.28893444,1
0.48473242,0.34792155,1
3.449718,1.1766264,1
-1.0071706,1.3933873,1
-1.4099469,1.706747,1
0.66909486,0.8172935,1
2.034158,0.7327646,1
-1.457765,1.4617697,1
-0.2542329,-0.7265781,1
1.604615,0.35821664,1
-2.1289408,-0.3152821,1
1.5199351,0.09294229,1
2.2739918,-0.048320264,1
0.43989632,-0.041673094,1
-2.5770419,0.17703208,1
