p,q,anomaly
2.0659773,-0.15222941,1
-2.4990654,0.4752585,1
-3.3655517,0.2934776,1
-0.9076666,-0.00010850633,1
-1.3064333,1.222955,1
-0.29986158,0.73400563,1
0.71315336,-0.16417485,1
1.4098564,0.026982505,1
-2.3223898,1.047933,1
-0.37948498,0.5935842,1
-0.74507296,0.7974381,1
-0.21526064,0.41325995,1
3.1923757,0.6921738,1
1.5090493,-0.008146057,1
0.5013818,0.3672557,1
-1.2444859,0.35504687,1
2.081833,0.55394304,1
0.082113594,0.40795568,1
0.6889384,-0.52737844,1
-0.44495746,0.718625,1
2.163021,0.38980773,1
1.4733092,0.5177678,1
5.5265613,-0.096686766,1
0.77656883,0.97781146,1
-0.20654282,0.26047316,1
-0.30378464,0.45564678,1
3.1335087,0.9354305,1
-2.812952,0.7379441,1
-1.0741662,0.025412861,1
0.8494926,1.2356246,1
4.8026404,1.1210217,1
-1.8151294,0.6536361,1
2.712246,1.1916085,1
2.658882,-0.07579946,1
0.26856896,0.26594988,1
-2.4795692,0.17429754,1
0.09086625,1.2496079,1
1.2801944,0.072901994,1
-0.026647419,1.5031699,1
2.4600263,0.12066267,1
1.0970197,1.326705,1
-4.5663986,1.620183,1
0.058600705,0.18001515,1
-0.34082302,0.4965086,1
1.6744443,1.1595935,1
1.1248409,1.4170406,1
0.04209587,0.42786828,1
-1.1095405,0.7750533,1
-3.4230711,-0.75668454,1
2.3092725,0.95178354,1
0.061706,0.14377126,1
-0.7365417,0.26431632,1
5.0067506,0.67095906,1
-1.1195985,0.28107995,1
1.5652007,0.50985926,1
-2.7298555,-0.40794575,1
3.162936,1.081702,1
-0.021737043,0.28307402,1
-1.9528509,-0.08149856,1
4.856823,-0.752724,1
1.5754241,0.45398444,1
-0.33687368,0.25511077,1
-0.6928819,0.015205415,1
0.22941089,1.154651,1
-1.5589994,-0.09877871,1
2.8384254,0.27359954,1
-4.976216,0.30915213,1
-0.20024398,0.8812897,1
1.7705904,-0.0033073556,1
-0.68225384,-0.064007744,1
-0.56831056,0.009454569,1
-3.043381,1.3376036,1
2.1282065,0.6419555,1
0.01268932,0.55536133,1
0.28694192,0.14444631,1
-1.8048248,0.2877479,1
-0.91156214,-0.9998497,1
0.6668646,-0.22105703,1
-4.7179384,0.46974298,1
-0.088721566,0.11175828,1
-2.083555,-1.0160999,1
2.6242516,0.23782559,1
-2.3615615,-0.24022935,1
3.419215,1.3281798,1
-1.4009445,-0.19427261,1
-1.4112681,-0.039866112,1
0.7380692,-0.6996785,1
-0.40678102,0.23130131,1
-0.5991218,0.111583285,1
0.050107043,0.5021792,1
-2.3740003,1.0558723,1
-2.122385,0.8454657,1
-3.4240508,0.50816154,1
1.1784606,-0.81737155,1
0.5424678,0.9927844,1
1.3025287,0.43212762,1
-1.2351602,1.565415,1
-1.0355065,-0.14774287,1
-2.283082,0.045724764,1
-0.20846541,0.2404687,1
1.4632956,0.10893445,1
0.34673232,0.48592153,1
3.629717,0.99662614,1
-1.0071706,1.3933873,1
-1.4099469,1.706747,1
0.48909453,0.99729383,1
1.8541579,0.9127649,1
-1.457765,1.4617697,1
-0.2542329,-0.7265781,1
1.5926149,0.32821673,1
-2.1289408,-0.3152821,1
1.2799349,-0.08705771,1
2.0339928,-0.22832024,1
0.2598963,-0.22167307,1
-2.5770419,0.17703208,1
2.44393,-0.16533422,1
1.8574941,0.35653642,1
0.6459609,1.0166943,1
0.41859344,0.39629412,1
-2.0018022,0.14950159,1
3.0966806,-0.58935463,1
-2.1340082,-0.2958866,1
-1.1953441,-1.0746052,1
1.6441678,1.0054938,1
0.29905725,-0.79627144,1
0.6709352,0.5083047,1
0.7790768,0.092678726,1
0.97302437,0.7009771,1
0.62959826,0.46577102,1
-1.3102721,-0.061111446,1
-0.59335417,0.52229375,1
4.08249,-1.1661218,1
-0.6729342,0.74647355,1
1.9522152,0.50045216,1
0.25372133,0.12761073,1
1.9121507,-0.14624086,1
1.0777241,1.2262598,1
-1.663672,0.17270112,1
0.5281366,0.8644168,1
-0.0048235897,0.5644699,1
-2.2389853,0.14231749,1
-2.9543002,1.2070923,1
0.9746111,1.2044357,1
-0.73518753,-1.6678355,1
0.27195978,0.3440818,1
-5.3527527,-0.55784637,1
-1.9919536,-1.1379905,1
-0.29135,1.8317958,1
0.9652644,-0.097827256,1
-0.72592825,0.8236031,1
-1.9106278,-0.81779677,1
1.8980396,0.30022264,1
2.5957415,-0.61990887,1
0.11292543,1.6291846,1
2.4647162,0.51783186,1
0.11839677,0.66776925,1
0.48729858,1.1779584,1
-2.1310637,1.0325751,1
3.0728245,0.8908984,1
-3.5983043,1.0834255,1
0.2822158,0.2718039,1
2.4403937,1.120436,1
-0.73481023,0.20581333,1
-2.9930823,1.0677356,1
3.6187375,-0.07053413,1
1.8344198,0.05924274,1
-2.0870583,1.0471628,1
1.2445467,0.56842744,1
-2.7583172,0.8370695,1
2.7203612,-0.25028214,1
-0.33229846,-0.4739547,1
-5.02842,0.6618574,1
0.24962623,0.13071302,1
-2.2317622,1.1779028,1
1.4855485,1.4868239,1
3.0216897,-0.5208507,1
