p,q,anomaly
2.4059763,0.12777059,1
-2.4990654,0.4752585,1
-3.3655517,0.2934776,1
-0.9076666,-0.00010850633,1
-1.3064333,1.222955,1
-0.01986152,1.0140057,1
0.4971533,0.11582515,1
1.7498565,0.30698252,1
-2.3223898,1.047933,1
-0.09948495,0.93358415,1
-0.77507293,0.7674381,1
0.06473936,0.6932601,1
2.9123766,0.41217375,1
1.8490493,0.27185395,1
0.5933818,0.39925575,1
-1.2444859,0.35504687,1
1.801833,0.27394307,1
0.17611362,0.31395563,1
0.6589384,-0.5573784,1
-0.47495738,0.748625,1
2.0070217,0.2338077,1
1.3193091,0.3617678,1
5.866559,0.18331325,1
0.74656886,0.6978114,1
0.07345718,0.60047305,1
-0.023784578,0.73564684,1
2.9155095,1.0914307,1
-2.812952,0.7379441,1
-1.0741662,0.025412861,1
0.81949264,0.9556245,1
5.0826426,1.4010217,1
-1.8151294,0.6536361,1
2.432247,0.9736084,1
2.9988809,0.20420057,1
0.23656888,0.29794988,1
-2.4795692,0.17429754,1
0.37086624,1.589608,1
1.6201944,0.35290197,1
0.25335258,1.8431699,1
2.6160257,0.27666268,1
0.9430196,1.046705,1
-4.5663986,1.620183,1
0.15260072,0.27401516,1
-0.060822964,0.7765087,1
1.4824442,0.87959343,1
0.9088408,1.1370406,1
0.19809589,0.33386827,1
-1.1095405,0.7750533,1
-3.4230711,-0.75668454,1
2.2772727,0.92178357,1
0.155706,0.29977125,1
-0.7365417,0.26431632,1
4.666753,0.39095902,1
-1.1195985,0.28107995,1
1.3852006,0.37985927,1
-2.7298555,-0.40794575,1
2.882937,1.051702,1
0.19626297,0.26507407,1
-1.9528509,-0.08149856,1
4.856823,-0.752724,1
1.295424,0.36198455,1
-0.05687362,0.59511065,1
-0.6928819,0.015205415,1
0.5094108,1.4946511,1
-1.5589994,-0.09877871,1
2.8684254,0.27959952,1
-4.976216,0.30915213,1
0.07975602,1.2212896,1
2.1105902,0.27669266,1
-0.68225384,-0.064007744,1
-0.56831056,0.009454569,1
-3.043381,1.3376036,1
2.282206,0.9219555,1
0.29268932,0.8953613,1
0.25494185,0.14444631,1
-1.8048248,0.2877479,1
-0.91156214,-0.9998497,1
0.51286453,0.058942974,1
-4.7179384,0.46974298,1
0.19127846,0.2677583,1
-2.083555,-1.0160999,1
2.7162514,0.26982558,1
-2.3615615,-0.24022935,1
3.139216,1.1121798,1
-1.4009445,-0.19427261,1
-1.4112681,-0.039866112,1
0.7380692,-0.6996785,1
-0.12678099,0.5113012,1
-0.5991218,0.111583285,1
0.33010703,0.8421792,1
-2.3740003,1.0558723,1
-2.122385,0.8454657,1
-3.4240508,0.50816154,1
1.1784606,-0.81737155,1
0.6364679,0.71278435,1
1.2085286,0.33812758,1
-1.2351602,1.565415,1
-1.0355065,-0.14774287,1
-2.283082,0.045724764,1
0.07153459,0.5384686,1
1.7232958,0.32693446,1
0.25473243,0.3299216,1
3.349718,1.2146263,1
-1.0071706,1.3933873,1
-1.4099469,1.706747,1
0.7690946,0.77929366,1
1.824158,0.9427649,1
-1.457765,1.4617697,1
-0.2542329,-0.7265781,1
1.5626149,0.35821664,1
-2.1289408,-0.3152821,1
1.6199348,0.1929423,1
2.3739917,0.05167976,1
0.41589627,0.05832693,1
-2.5770419,0.17703208,1
2.7839289,0.11466578,1
1.7034941,0.26253638,1
0.739961,0.7366943,1
0.22059353,0.30229408,1
-2.0018022,0.14950159,1
3.1266806,-0.6193546,1
-2.1340082,-0.2958866,1
-1.1953441,-1.0746052,1
1.7381679,0.91149366,1
0.29905725,-0.79627144,1
0.5769351,0.4143047,1
1.1190767,0.37267876,1
0.87902427,0.7949772,1
0.53559816,0.37177098,1
-1.3102721,-0.061111446,1
-0.62335414,0.49229378,1
4.08249,-1.1661218,1
-0.70293415,0.75847363,1
1.734215,0.28245223,1
0.29172128,0.15161078,1
2.2521498,0.13375914,1
0.92372406,0.9462598,1
-1.663672,0.17270112,1
0.68413675,0.70841664,1
0.27517635,0.90446985,1
-2.2389853,0.14231749,1
-2.9543002,1.2070923,1
0.8826111,0.9244357,1
-0.73518753,-1.6678355,1
0.25995982,0.2820818,1
-5.3527527,-0.55784637,1
-1.9919536,-1.1379905,1
-0.011349946,2.1117957,1
1.3052644,0.18217276,1
-0.7559282,0.85360307,1
-1.9106278,-0.81779677,1
1.8060396,0.26822257,1
2.6257415,-0.64990884,1
0.39292538,1.9691846,1
2.1847172,0.23783189,1
0.39839673,1.0077692,1
0.7052988,1.3319584,1
-2.1310637,1.0325751,1
2.8548253,1.0468985,1
-3.5983043,1.0834255,1
0.25021574,0.30380392,1
2.346394,0.9644358,1
-0.73481023,0.20581333,1
-2.9930823,1.0677356,1
3.9587364,0.20946589,1
2.05242,0.27724275,1
-2.0870583,1.0471628,1
1.0285466,0.4124274,1
-2.7583172,0.8370695,1
3.0603602,0.029717952,1
-0.33229846,-0.4739547,1
-5.02842,0.6618574,1
0.28162622,0.14871305,1
-2.2317622,1.1779028,1
1.3315485,1.2068238,1
3.0516896,-0.5508507,1
-0.92023444,0.073496945,1
-1.1877471,-0.31274208,1
0.24292289,0.2839059,1
6.0887957,0.28776217,1
0.70730674,0.69031805,1
1.3697331,0.2719657,1
0.22598222,2.260445,1
1.2490307,0.3147116,1
1.2941953,-0.543955,1
